seed,scenario,method,view,regime,window,n_rows,state_mismatch_rate,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate
42,steady_m2_r10_k1,pooled_conditional,clean,all,all,2160,0.0,6480,0,0,51,0,6429,0.0,,0.0,0.00787037037037037,,,0,,0,0.021296296296296296,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,all,stable,2160,0.0,6480,0,0,51,0,6429,0.0,,0.0,0.00787037037037037,,,0,,0,0.021296296296296296,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,warehouse,all,720,0.0,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,warehouse,stable,720,0.0,2160,0,0,1,0,2159,0.0,,0.0,0.000462962962962963,,,0,,0,0.001388888888888889,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,transit_smooth,all,720,0.0,2160,0,0,21,0,2139,0.0,,0.0,0.009722222222222222,,,0,,0,0.029166666666666667,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,transit_smooth,stable,720,0.0,2160,0,0,21,0,2139,0.0,,0.0,0.009722222222222222,,,0,,0,0.029166666666666667,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,transit_rough,all,720,0.0,2160,0,0,29,0,2131,0.0,,0.0,0.013425925925925926,,,0,,0,0.03333333333333333,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,clean,transit_rough,stable,720,0.0,2160,0,0,29,0,2131,0.0,,0.0,0.013425925925925926,,,0,,0,0.03333333333333333,1.0,1.0,,,
42,steady_m2_r10_k1,pooled_conditional,observed,all,all,2160,0.0,6480,216,49,80,167,6184,0.3798449612403101,0.22685185185185186,0.28405797101449276,0.01277139208173691,0.22059450598095454,0.5462962962962963,216,0.0787037037037037,432,0.02109053497942387,1.0,1.0,0.3333333333333333,0.22685185185185186,0.09259259259259259
42,steady_m2_r10_k1,pooled_conditional,observed,all,stable,2160,0.0,6480,216,49,80,167,6184,0.3798449612403101,0.22685185185185186,0.28405797101449276,0.01277139208173691,0.22059450598095454,0.5462962962962963,216,0.0787037037037037,432,0.02109053497942387,1.0,1.0,0.3333333333333333,0.22685185185185186,0.09259259259259259
42,steady_m2_r10_k1,pooled_conditional,observed,warehouse,all,720,0.0,2160,72,6,1,66,2087,0.8571428571428571,0.08333333333333333,0.1518987341772152,0.0004789272030651341,0.2085341673939932,0.6527777777777778,72,0.0,144,0.0015432098765432098,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
42,steady_m2_r10_k1,pooled_conditional,observed,warehouse,stable,720,0.0,2160,72,6,1,66,2087,0.8571428571428571,0.08333333333333333,0.1518987341772152,0.0004789272030651341,0.2085341673939932,0.6527777777777778,72,0.0,144,0.0015432098765432098,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
42,steady_m2_r10_k1,pooled_conditional,observed,transit_smooth,all,720,0.0,2160,72,1,21,71,2067,0.045454545454545456,0.013888888888888888,0.02127659574468085,0.010057471264367816,0.05025199255483423,0.4027777777777778,72,0.013888888888888888,144,0.029320987654320986,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m2_r10_k1,pooled_conditional,observed,transit_smooth,stable,720,0.0,2160,72,1,21,71,2067,0.045454545454545456,0.013888888888888888,0.02127659574468085,0.010057471264367816,0.05025199255483423,0.4027777777777778,72,0.013888888888888888,144,0.029320987654320986,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m2_r10_k1,pooled_conditional,observed,transit_rough,all,720,0.0,2160,72,42,58,30,2030,0.42,0.5833333333333334,0.4883720930232558,0.027777777777777776,0.46336823544404265,0.5833333333333334,72,0.2222222222222222,144,0.032407407407407406,1.0,1.0,0.3333333333333333,0.5833333333333334,0.18055555555555555
42,steady_m2_r10_k1,pooled_conditional,observed,transit_rough,stable,720,0.0,2160,72,42,58,30,2030,0.42,0.5833333333333334,0.4883720930232558,0.027777777777777776,0.46336823544404265,0.5833333333333334,72,0.2222222222222222,144,0.032407407407407406,1.0,1.0,0.3333333333333333,0.5833333333333334,0.18055555555555555
42,steady_m2_r10_k1,regime_conditional,clean,all,all,2160,0.0,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,all,stable,2160,0.0,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,warehouse,all,720,0.0,2160,0,0,37,0,2123,0.0,,0.0,0.01712962962962963,,,0,,0,0.04861111111111111,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,warehouse,stable,720,0.0,2160,0,0,37,0,2123,0.0,,0.0,0.01712962962962963,,,0,,0,0.04861111111111111,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,transit_smooth,all,720,0.0,2160,0,0,20,0,2140,0.0,,0.0,0.009259259259259259,,,0,,0,0.027777777777777776,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,transit_smooth,stable,720,0.0,2160,0,0,20,0,2140,0.0,,0.0,0.009259259259259259,,,0,,0,0.027777777777777776,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,transit_rough,all,720,0.0,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,clean,transit_rough,stable,720,0.0,2160,0,0,26,0,2134,0.0,,0.0,0.012037037037037037,,,0,,0,0.034722222222222224,1.0,1.0,,,
42,steady_m2_r10_k1,regime_conditional,observed,all,all,2160,0.0,6480,216,84,86,132,6178,0.49411764705882355,0.3888888888888889,0.43523316062176165,0.013729246487867178,0.42015389739843273,0.8240740740740741,216,0.032407407407407406,432,0.0360082304526749,1.0,1.0,0.3333333333333333,0.3888888888888889,0.3472222222222222
42,steady_m2_r10_k1,regime_conditional,observed,all,stable,2160,0.0,6480,216,84,86,132,6178,0.49411764705882355,0.3888888888888889,0.43523316062176165,0.013729246487867178,0.42015389739843273,0.8240740740740741,216,0.032407407407407406,432,0.0360082304526749,1.0,1.0,0.3333333333333333,0.3888888888888889,0.3472222222222222
42,steady_m2_r10_k1,regime_conditional,observed,warehouse,all,720,0.0,2160,72,29,39,43,2049,0.4264705882352941,0.4027777777777778,0.4142857142857143,0.01867816091954023,0.39432623558956054,0.8194444444444444,72,0.041666666666666664,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.4027777777777778,0.3333333333333333
42,steady_m2_r10_k1,regime_conditional,observed,warehouse,stable,720,0.0,2160,72,29,39,43,2049,0.4264705882352941,0.4027777777777778,0.4142857142857143,0.01867816091954023,0.39432623558956054,0.8194444444444444,72,0.041666666666666664,144,0.04938271604938271,1.0,1.0,0.3333333333333333,0.4027777777777778,0.3333333333333333
42,steady_m2_r10_k1,regime_conditional,observed,transit_smooth,all,720,0.0,2160,72,14,21,58,2067,0.4,0.19444444444444445,0.2616822429906542,0.010057471264367816,0.3052370237999728,0.8055555555555556,72,0.020833333333333332,144,0.027777777777777776,1.0,1.0,0.3333333333333333,0.19444444444444445,0.16666666666666666
42,steady_m2_r10_k1,regime_conditional,observed,transit_smooth,stable,720,0.0,2160,72,14,21,58,2067,0.4,0.19444444444444445,0.2616822429906542,0.010057471264367816,0.3052370237999728,0.8055555555555556,72,0.020833333333333332,144,0.027777777777777776,1.0,1.0,0.3333333333333333,0.19444444444444445,0.16666666666666666
42,steady_m2_r10_k1,regime_conditional,observed,transit_rough,all,720,0.0,2160,72,41,26,31,2062,0.6119402985074627,0.5694444444444444,0.5899280575539568,0.012452107279693486,0.5804181323134763,0.8472222222222222,72,0.034722222222222224,144,0.030864197530864196,1.0,1.0,0.3333333333333333,0.5694444444444444,0.5416666666666666
42,steady_m2_r10_k1,regime_conditional,observed,transit_rough,stable,720,0.0,2160,72,41,26,31,2062,0.6119402985074627,0.5694444444444444,0.5899280575539568,0.012452107279693486,0.5804181323134763,0.8472222222222222,72,0.034722222222222224,144,0.030864197530864196,1.0,1.0,0.3333333333333333,0.5694444444444444,0.5416666666666666
42,steady_m05,single_marginal,clean,all,all,2160,0.0,6480,0,0,2855,0,3625,0.0,,0.0,0.44058641975308643,,,0,,0,0.6768518518518518,1.0,1.0,,,
42,steady_m05,single_marginal,clean,all,stable,2160,0.0,6480,0,0,2855,0,3625,0.0,,0.0,0.44058641975308643,,,0,,0,0.6768518518518518,1.0,1.0,,,
42,steady_m05,single_marginal,clean,warehouse,all,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m05,single_marginal,clean,warehouse,stable,720,0.0,2160,0,0,23,0,2137,0.0,,0.0,0.010648148148148148,,,0,,0,0.030555555555555555,1.0,1.0,,,
42,steady_m05,single_marginal,clean,transit_smooth,all,720,0.0,2160,0,0,1288,0,872,0.0,,0.0,0.5962962962962963,,,0,,0,1.0,1.0,1.0,,,
42,steady_m05,single_marginal,clean,transit_smooth,stable,720,0.0,2160,0,0,1288,0,872,0.0,,0.0,0.5962962962962963,,,0,,0,1.0,1.0,1.0,,,
