seed,method,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,scenario,compare_to
44,regime_conditional,observed,-0.34313397928499834,-0.3101851851851852,-0.34520123839009287,-0.3347139628502259,-0.0015964240102171127,-0.023148148148148147,-0.2777777777777778,0.0,-0.3101851851851852,-0.27314814814814814,0.0,steady_m1,steady_m2_r10_k1
45,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
45,single_marginal,observed,-0.020529823783084794,-0.14814814814814814,-0.011027739397350467,-0.013015514655950466,0.0,0.0,-0.09259259259259256,0.0,-0.14814814814814814,-0.09259259259259259,0.0,steady_m1,steady_m2_r10_k1
45,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
45,pooled_marginal,observed,-0.15777802014032793,-0.12962962962962962,-0.19849170437405733,-0.09755817713432594,0.0,0.0,-0.18518518518518523,0.0,-0.12962962962962962,-0.125,0.0,steady_m1,steady_m2_r10_k1
45,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
45,regime_marginal,observed,-0.28908091123330715,-0.23148148148148148,-0.36536353671903543,-0.27833929807321217,0.0,0.0,-0.32407407407407407,0.0,-0.23148148148148148,-0.2268518518518519,0.0,steady_m1,steady_m2_r10_k1
45,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
45,pooled_conditional,observed,-0.20612548319952423,-0.17129629629629628,-0.24171187462326701,-0.18560853850059839,-0.0015964240102171127,-0.023148148148148147,-0.17592592592592587,0.0,-0.17129629629629628,-0.12037037037037038,0.0,steady_m1,steady_m2_r10_k1
45,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
45,regime_conditional,observed,-0.34469060351413294,-0.3287037037037037,-0.32662721893491126,-0.3860319606491162,-0.0012771392081736919,-0.018518518518518517,-0.3472222222222222,0.0,-0.3287037037037037,-0.28703703703703703,0.0,steady_m1,steady_m2_r10_k1
46,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
46,single_marginal,observed,-0.01230104758331152,-0.09259259259259256,-0.0065873470775462475,-0.011506423634929902,0.0,0.0,-0.08796296296296297,0.0,-0.09259259259259256,-0.05092592592592592,0.0,steady_m1,steady_m2_r10_k1
46,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
46,pooled_marginal,observed,-0.09365079365079365,-0.06944444444444445,-0.1424963924963925,-0.061481083024240185,0.0,0.0,-0.15740740740740738,0.0,-0.06944444444444445,-0.06944444444444445,0.0,steady_m1,steady_m2_r10_k1
46,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
