scenario,compare_to,method,view,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_m4,steady_m2_r10_k1,pooled_conditional,observed,0.31092994041775945,0.03226788004291444,5,0.437962962962963,0.06560366512562353,5,0.14423662257055592,0.018264234649945296,5,0.35087257157159757,0.05785883400781776,5,0.007854406130268199,0.002469044052258137,5,0.11388888888888889,0.03580113875774298,5,0.21018518518518517,0.05424772346085935,5,0.0,0.0,5,0.437962962962963,0.06560366512562353,5,0.22037037037037038,0.015562718809232986,5,0.0,0.0,5
steady_m4,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m4,steady_m2_r10_k1,pooled_marginal,observed,0.34339723883982465,0.014396593828194438,5,0.35,0.025693401713910387,5,0.30651178635090776,0.03304046423689925,5,0.3750842470900341,0.027772068634185024,5,0.0,0.0,5,0.0,0.0,5,0.23148148148148148,0.029644093691818765,5,0.0,0.0,5,0.35,0.025693401713910387,5,0.34629629629629627,0.026875787543888856,5,0.0,0.0,5
steady_m4,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m4,steady_m2_r10_k1,regime_conditional,observed,0.31597167366236556,0.026272859516130648,5,0.5962962962962963,0.016498638593708762,5,0.10175374817034895,0.02947259221007445,5,0.5236886326388784,0.01930464277646055,5,0.00871647509578544,0.0016804211196603778,5,0.12638888888888888,0.02436610623507549,5,0.19166666666666665,0.027113982341382056,5,0.0,0.0,5,0.5962962962962963,0.016498638593708762,5,0.34074074074074073,0.05345167554582077,5,0.0,0.0,5
steady_m4,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m4,steady_m2_r10_k1,regime_marginal,observed,0.5060353072124435,0.036421660093240875,5,0.662037037037037,0.006547285010986531,5,0.29438801194360803,0.03305466950031451,5,0.6287109488034517,0.03547753634148511,5,0.0,0.0,5,0.0,0.0,5,0.21759259259259256,0.051864251162981656,5,0.0,0.0,5,0.662037037037037,0.006547285010986531,5,0.6537037037037037,0.008905270398921966,5,0.0,0.0,5
steady_m4,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_m4,steady_m2_r10_k1,single_marginal,observed,0.044277670062115346,0.00959585890711674,5,0.337037037037037,0.0757478716194038,5,0.02369147780544748,0.005123216244722757,5,0.03002375335239459,0.022986280494608862,5,0.0,0.0,5,0.0,0.0,5,0.0851851851851852,0.028274873119634218,5,0.0,0.0,5,0.337037037037037,0.0757478716194038,5,0.21944444444444447,0.018402413809584975,5,0.0,0.0,5
steady_r02,steady_m2_r10_k1,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
