seed,method,scenario,regime,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
42,pooled_conditional,observed,transit_rough,1920,61,36,75,25,1784,0.32432432432432434,0.5901639344262295,0.4186046511627907,0.04034427111350188,0.43488631796069255,0.7049180327868853,61,0.28688524590163933,122,0.05181347150259067,1.0,1.0
42,pooled_conditional,clean,all,5760,0,0,61,0,5699,0.0,,0.0,0.010590277777777778,,,0,,0,0.025,1.0,1.0
42,pooled_conditional,clean,warehouse,1920,0,0,0,0,1920,,,,0.0,,,0,,0,0.0,1.0,1.0
42,pooled_conditional,clean,transit_smooth,1920,0,0,14,0,1906,0.0,,0.0,0.007291666666666667,,,0,,0,0.0203125,1.0,1.0
42,pooled_conditional,clean,transit_rough,1920,0,0,47,0,1873,0.0,,0.0,0.024479166666666666,,,0,,0,0.0546875,1.0,1.0
42,regime_conditional,observed,all,5646,154,108,162,46,5330,0.4,0.7012987012987013,0.5094339622641509,0.029497450837581936,0.5887787729779307,0.8636363636363636,154,0.30844155844155846,308,0.03761574074074074,0.9802083333333333,0.9802083333333333
42,regime_conditional,observed,warehouse,1860,50,38,69,12,1741,0.35514018691588783,0.76,0.4840764331210191,0.03812154696132597,0.6852306346248915,0.9,50,0.49,100,0.03333333333333333,0.96875,0.96875
42,regime_conditional,observed,transit_smooth,1866,43,35,50,8,1773,0.4117647058823529,0.813953488372093,0.546875,0.027427317608337904,0.6828151239281471,0.9069767441860465,43,0.313953488372093,86,0.037996545768566495,0.971875,0.971875
42,regime_conditional,observed,transit_rough,1920,61,35,43,26,1816,0.44871794871794873,0.5737704918032787,0.5035971223021583,0.023130715438407747,0.5796593139690869,0.8032786885245902,61,0.1557377049180328,122,0.04145077720207254,1.0,1.0
42,regime_conditional,clean,all,5760,0,0,76,0,5684,0.0,,0.0,0.013194444444444444,,,0,,0,0.03802083333333333,1.0,1.0
