scenario,method,alpha,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count
steady_r20,regime_marginal,1.0,observed,0.9166666666666666,0.03928371006591926,5,0.9166666666666666,0.03928371006591926,5,0.02777777777777778,0.0,5,3.115603965926547,0.6732352824985447,5,3.85,0.7877828710068859,5
switch_d0,regime_conditional,0.2,clean,0.049999999999999996,0.03486083443891982,5,0.049999999999999996,0.03486083443891982,5,0.008333333333333333,0.018633899812498245,5,4.875,3.275540667838924,4,8.691666666666666,0.2510395055232009,5
switch_d0,regime_conditional,0.2,observed,0.975,0.0228217732293819,5,0.9583333333333334,0.0416666666666667,5,0.03333333333333333,0.04564354645876384,5,2.2737483530961793,0.19695442533806062,5,2.475,0.39374448849758165,5
switch_d0,regime_conditional,1.0,clean,0.09166666666666666,0.03486083443891982,5,0.09166666666666666,0.03486083443891982,5,0.025,0.02282177322938192,5,4.933333333333334,2.947692129257886,5,8.533333333333335,0.2966830519819649,5
switch_d0,regime_conditional,1.0,observed,0.9583333333333334,0.0,5,0.9583333333333334,0.0,5,0.03333333333333333,0.018633899812498245,5,1.5826086956521739,0.14615422881714438,5,1.8666666666666665,0.24544460791705225,5
switch_d0,regime_marginal,0.2,clean,0.025,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.008333333333333333,0.018633899812498245,5,6.0,5.656854249492381,2,8.9,0.18066236157232304,5
switch_d0,regime_marginal,0.2,observed,0.775,0.03726779962499652,5,0.7583333333333334,0.04564354645876383,5,0.03333333333333333,0.04564354645876384,5,4.128366013071895,0.7758963623496614,5,4.925,0.6714670919379114,5
switch_d0,regime_marginal,1.0,clean,0.06666666666666667,0.06319062870042959,5,0.06666666666666667,0.06319062870042959,5,0.008333333333333333,0.018633899812498245,5,5.4375,3.798985610221058,4,8.675,0.371978568677761,5
switch_d0,regime_marginal,1.0,observed,0.7833333333333333,0.08014743359029722,5,0.7833333333333333,0.08014743359029722,5,0.016666666666666666,0.02282177322938192,5,2.1712136848359758,0.7659443880229505,5,3.35,0.6377858836108972,5
switch_d12,regime_conditional,0.2,clean,0.15,0.04750730937913076,5,0.15,0.04750730937913076,5,0.05833333333333333,0.04750730937913076,5,2.4333333333333336,1.3621877827801698,5,7.825,0.5723671607164991,5
switch_d12,regime_conditional,0.2,observed,0.9666666666666668,0.018633899812498234,5,0.95,0.0186338998124983,5,0.08333333333333333,0.04166666666666667,5,2.1845849802371538,0.08476855702308486,5,2.475,0.2095796056659881,5
switch_d12,regime_conditional,1.0,clean,0.175,0.054326686710022075,5,0.16666666666666666,0.05103103630798288,5,0.05833333333333333,0.03726779962499649,5,2.333333333333333,1.5590239111558089,5,7.733333333333334,0.5209166600010668,5
switch_d12,regime_conditional,1.0,observed,0.9583333333333333,0.04166666666666667,5,0.95,0.05432668671002207,5,0.06666666666666667,0.02282177322938192,5,1.459472049689441,0.10834533907017778,5,1.7833333333333337,0.45204012850385056,5
switch_d12,regime_marginal,0.2,clean,0.1,0.047507309379130745,5,0.09166666666666666,0.04564354645876384,5,0.08333333333333333,0.05892556509887896,5,0.7,0.9746794344808964,5,8.283333333333333,0.3613247231446466,5
switch_d12,regime_marginal,0.2,observed,0.8166666666666667,0.055901699437494755,5,0.8,0.04564354645876385,5,0.10833333333333332,0.04750730937913076,5,3.7563909774436093,0.5281487357302613,5,4.466666666666667,0.27227182087840895,5
switch_d12,regime_marginal,1.0,clean,0.125,0.05103103630798289,5,0.125,0.05103103630798289,5,0.05833333333333333,0.06972166887783962,5,1.6866666666666668,2.3361411677284303,5,8.025,0.5762968467340036,5
switch_d12,regime_marginal,1.0,observed,0.8166666666666667,0.08122328620674135,5,0.8083333333333333,0.07569125885243724,5,0.06666666666666667,0.06972166887783963,5,1.9855305375738812,0.7841309329610132,5,3.058333333333333,0.7919955457226036,5
