scenario,method,alpha,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count
steady_k2,regime_marginal,0.2,observed,all,all,0.5082209031744098,0.043278031391228676,5,0.43842592592592594,0.040972876119494316,5,0.6175194913511828,0.09925162909897046,5,0.5138397920874034,0.05002400758515131,5,0.020833333333333332,0.010429125622154829,5,0.005555555555555555,0.010036797865129073,5,0.9462962962962964,0.03364055948997211,5,0.6666666666666666,0.0,5,0.2638888888888889,0.05487624810708194,5,0.2638888888888889,0.05487624810708194,5,1.0,0.0,5,0.0931532251948278,0.03047444373026726,5,4.8280423280423275,2.400051082561079,5
steady_k2,regime_marginal,0.2,observed,all,stable,0.5082209031744098,0.043278031391228676,5,0.43842592592592594,0.040972876119494316,5,0.6175194913511828,0.09925162909897046,5,0.5138397920874034,0.05002400758515131,5,0.020833333333333332,0.010429125622154829,5,0.005555555555555555,0.010036797865129073,5,0.9462962962962964,0.03364055948997211,5,0.6666666666666666,0.0,5,0.2638888888888889,0.05487624810708194,5,0.2638888888888889,0.05487624810708194,5,1.0,0.0,5,0.0931532251948278,0.03047444373026726,5,4.8280423280423275,2.400051082561079,5
steady_k2,regime_marginal,0.2,observed,transit_rough,all,0.4923800728201952,0.01716667758903159,5,0.42638888888888893,0.054371053141842735,5,0.6073446992292493,0.1074566144472316,5,0.5187016405105862,0.040387238838534664,5,0.021825396825396824,0.011800969497391189,5,0.005555555555555555,0.007607257743127307,5,0.95,0.033448873829978625,5,0.6666666666666666,0.0,5,0.24166666666666664,0.059414582322798434,5,0.24166666666666664,0.059414582322798434,5,1.0,0.0,5,0.07416887125220459,0.02908982528881383,5,5.555555555555555,2.465232865037535,5
steady_k2,regime_marginal,0.2,observed,transit_rough,stable,0.4923800728201952,0.01716667758903159,5,0.42638888888888893,0.054371053141842735,5,0.6073446992292493,0.1074566144472316,5,0.5187016405105862,0.040387238838534664,5,0.021825396825396824,0.011800969497391189,5,0.005555555555555555,0.007607257743127307,5,0.95,0.033448873829978625,5,0.6666666666666666,0.0,5,0.24166666666666664,0.059414582322798434,5,0.24166666666666664,0.059414582322798434,5,1.0,0.0,5,0.07416887125220459,0.02908982528881383,5,5.555555555555555,2.465232865037535,5
steady_k2,regime_marginal,0.2,observed,transit_smooth,all,0.5140601899526068,0.08342255982985178,5,0.39583333333333337,0.09027777777777776,5,0.7883703917394262,0.14636306270655333,5,0.5703482835626289,0.07583514177513541,5,0.009226190476190476,0.007124577027487999,5,0.005555555555555555,0.012422599874998832,5,0.9527777777777778,0.03344887382997864,5,0.6666666666666666,0.0,5,0.23888888888888887,0.09692414623537722,5,0.23888888888888887,0.09692414623537722,5,1.0,0.0,5,0.07361495135688685,0.06652627231935114,5,1.4880952380952381,1.0522422339085529,5
steady_k2,regime_marginal,0.2,observed,transit_smooth,stable,0.5140601899526068,0.08342255982985178,5,0.39583333333333337,0.09027777777777776,5,0.7883703917394262,0.14636306270655333,5,0.5703482835626289,0.07583514177513541,5,0.009226190476190476,0.007124577027487999,5,0.005555555555555555,0.012422599874998832,5,0.9527777777777778,0.03344887382997864,5,0.6666666666666666,0.0,5,0.23888888888888887,0.09692414623537722,5,0.23888888888888887,0.09692414623537722,5,1.0,0.0,5,0.07361495135688685,0.06652627231935114,5,1.4880952380952381,1.0522422339085529,5
steady_k2,regime_marginal,0.2,observed,warehouse,all,0.51752956515655,0.10460535992196798,5,0.4930555555555555,0.08083643560293625,5,0.5564578317171169,0.14984997118928928,5,0.5104252791020711,0.08528984678475006,5,0.0314484126984127,0.019305769668790964,5,0.005555555555555555,0.012422599874998832,5,0.9361111111111111,0.05065161813558465,5,0.6666666666666666,0.0,5,0.3111111111111111,0.1217161238900369,5,0.3111111111111111,0.1217161238900369,5,1.0,0.0,5,0.12787698412698414,0.0388184854547921,5,7.440476190476192,6.323188880943435,5
steady_k2,regime_marginal,0.2,observed,warehouse,stable,0.51752956515655,0.10460535992196798,5,0.4930555555555555,0.08083643560293625,5,0.5564578317171169,0.14984997118928928,5,0.5104252791020711,0.08528984678475006,5,0.0314484126984127,0.019305769668790964,5,0.005555555555555555,0.012422599874998832,5,0.9361111111111111,0.05065161813558465,5,0.6666666666666666,0.0,5,0.3111111111111111,0.1217161238900369,5,0.3111111111111111,0.1217161238900369,5,1.0,0.0,5,0.12787698412698414,0.0388184854547921,5,7.440476190476192,6.323188880943435,5
steady_k2,regime_marginal,1.0,clean,all,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010185185185185184,0.004084407490082113,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.011571358606540006,0.0026024580453726186,5,9.598765432098766,3.884783743535081,5
steady_k2,regime_marginal,1.0,clean,all,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010185185185185184,0.004084407490082113,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.011571358606540006,0.0026024580453726186,5,9.598765432098766,3.884783743535081,5
