seed,scenario,method,alpha,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,event_channel_count
43,steady_r20,regime_conditional,1.0,observed,1.0,1.0,0.05555555555555555,1.9166666666666667,1.9166666666666667,36
43,steady_r20,regime_marginal,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,6.0,11.5,36
43,steady_r20,regime_marginal,0.2,observed,0.9166666666666666,0.9166666666666666,0.0,4.121212121212121,4.777777777777778,36
43,steady_r20,regime_marginal,1.0,clean,0.25,0.25,0.027777777777777776,6.0,10.5,36
43,steady_r20,regime_marginal,1.0,observed,0.9166666666666666,0.9166666666666666,0.027777777777777776,2.1515151515151514,2.9722222222222223,36
43,switch_d0,regime_conditional,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,1.0,8.541666666666666,24
43,switch_d0,regime_conditional,0.2,observed,1.0,1.0,0.0,1.9583333333333333,1.9583333333333333,24
43,switch_d0,regime_conditional,1.0,clean,0.125,0.125,0.0,2.0,8.25,24
43,switch_d0,regime_conditional,1.0,observed,0.9583333333333334,0.9583333333333334,0.0,1.608695652173913,2.0416666666666665,24
43,switch_d0,regime_marginal,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,10.0,8.916666666666666,24
43,switch_d0,regime_marginal,0.2,observed,0.75,0.75,0.0,3.7777777777777777,4.833333333333333,24
43,switch_d0,regime_marginal,1.0,clean,0.16666666666666666,0.16666666666666666,0.0,4.75,8.291666666666666,24
43,switch_d0,regime_marginal,1.0,observed,0.75,0.75,0.0,1.3333333333333333,3.0,24
43,switch_d12,regime_conditional,0.2,clean,0.20833333333333334,0.20833333333333334,0.125,1.0,6.958333333333333,24
43,switch_d12,regime_conditional,0.2,observed,0.9583333333333334,0.9583333333333334,0.125,2.130434782608696,2.5416666666666665,24
43,switch_d12,regime_conditional,1.0,clean,0.25,0.25,0.041666666666666664,1.5,6.875,24
43,switch_d12,regime_conditional,1.0,observed,0.9166666666666666,0.9166666666666666,0.041666666666666664,1.5,2.375,24
43,switch_d12,regime_marginal,0.2,clean,0.08333333333333333,0.08333333333333333,0.125,0.0,8.25,24
43,switch_d12,regime_marginal,0.2,observed,0.7916666666666666,0.7916666666666666,0.125,3.4210526315789473,4.208333333333333,24
43,switch_d12,regime_marginal,1.0,clean,0.125,0.125,0.0,0.0,8.0,24
43,switch_d12,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.0,1.1578947368421053,2.4166666666666665,24
43,switch_d4,regime_conditional,0.2,clean,0.20833333333333334,0.20833333333333334,0.0,1.0,6.958333333333333,24
43,switch_d4,regime_conditional,0.2,observed,1.0,1.0,0.0,2.2083333333333335,2.2083333333333335,24
43,switch_d4,regime_conditional,1.0,clean,0.25,0.25,0.0,1.5,6.875,24
43,switch_d4,regime_conditional,1.0,observed,0.9583333333333334,0.9583333333333334,0.0,1.608695652173913,2.0416666666666665,24
43,switch_d4,regime_marginal,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,0.0,8.25,24
43,switch_d4,regime_marginal,0.2,observed,0.75,0.75,0.0,3.3333333333333335,4.5,24
43,switch_d4,regime_marginal,1.0,clean,0.16666666666666666,0.16666666666666666,0.0,2.25,7.875,24
43,switch_d4,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.0,1.1578947368421053,2.4166666666666665,24
44,steady_k2,regime_conditional,0.2,clean,0.10416666666666667,0.10416666666666667,0.0,5.4,8.4375,48
44,steady_k2,regime_conditional,0.2,observed,0.9583333333333334,0.9375,0.08333333333333333,2.466666666666667,2.6875,48
44,steady_k2,regime_conditional,1.0,clean,0.10416666666666667,0.10416666666666667,0.0,3.8,8.645833333333334,48
44,steady_k2,regime_conditional,1.0,observed,0.8541666666666666,0.8333333333333334,0.041666666666666664,1.075,2.1458333333333335,48
44,steady_k2,regime_marginal,0.2,clean,0.020833333333333332,0.020833333333333332,0.0,7.0,8.895833333333334,48
44,steady_k2,regime_marginal,0.2,observed,0.75,0.7291666666666666,0.0625,4.6571428571428575,5.395833333333333,48
44,steady_k2,regime_marginal,1.0,clean,0.020833333333333332,0.020833333333333332,0.0,3.0,8.9375,48
44,steady_k2,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.020833333333333332,2.8947368421052633,3.9166666666666665,48
44,steady_m05,regime_conditional,0.2,clean,0.125,0.125,0.0,7.0,8.625,24
44,steady_m05,regime_conditional,0.2,observed,0.25,0.25,0.041666666666666664,4.666666666666667,7.666666666666667,24
44,steady_m05,regime_conditional,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m05,regime_conditional,1.0,observed,0.125,0.125,0.0,4.666666666666667,8.583333333333334,24
44,steady_m05,regime_marginal,0.2,clean,0.0,0.0,0.0,,9.0,24
44,steady_m05,regime_marginal,0.2,observed,0.041666666666666664,0.041666666666666664,0.0,5.0,8.958333333333334,24
44,steady_m05,regime_marginal,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m05,regime_marginal,1.0,observed,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m1,regime_conditional,0.2,clean,0.125,0.125,0.0,7.0,8.625,24
44,steady_m1,regime_conditional,0.2,observed,0.625,0.5416666666666666,0.08333333333333333,4.461538461538462,6.166666666666667,24
44,steady_m1,regime_conditional,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m1,regime_conditional,1.0,observed,0.5,0.5,0.0,3.75,6.125,24
44,steady_m1,regime_marginal,0.2,clean,0.0,0.0,0.0,,9.0,24
44,steady_m1,regime_marginal,0.2,observed,0.125,0.125,0.041666666666666664,6.0,8.5,24
