seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m1,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m1,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m1,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m1,regime_marginal,clean,transit_rough,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m1,regime_marginal,clean,transit_rough,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.011111111111111112,-4.62962962962963,0.2
42,steady_m1,regime_marginal,observed,all,all,0.05161210008714055,0.03703703703703704,0.07642888790429772,0.06411006929446858,0.0007982120051085572,0.013888888888888888,0.18055555555555558,0.0,0.03703703703703704,0.03703703703703704,0.0,0.0,-4.469987228607918,0.2
42,steady_m1,regime_marginal,observed,all,stable,0.05161210008714055,0.03703703703703704,0.07642888790429772,0.06411006929446858,0.0007982120051085572,0.013888888888888888,0.18055555555555558,0.0,0.03703703703703704,0.03703703703703704,0.0,0.0,-4.469987228607918,0.2
42,steady_m1,regime_marginal,observed,warehouse,all,0.10544217687074829,0.11111111111111113,0.06794871794871793,0.08596845800692637,0.012452107279693488,0.034722222222222224,0.11111111111111116,0.0,0.11111111111111113,0.11111111111111113,0.0,0.0,-2.873563218390805,0.2
42,steady_m1,regime_marginal,observed,warehouse,stable,0.10544217687074829,0.11111111111111113,0.06794871794871793,0.08596845800692637,0.012452107279693488,0.034722222222222224,0.11111111111111116,0.0,0.11111111111111113,0.11111111111111113,0.0,0.0,-2.873563218390805,0.2
42,steady_m1,regime_marginal,observed,transit_smooth,all,0.007004231723332852,0.0,0.2823529411764706,0.08108708810265597,-0.005747126436781609,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-5.747126436781609,0.2
42,steady_m1,regime_marginal,observed,transit_smooth,stable,0.007004231723332852,0.0,0.2823529411764706,0.08108708810265597,-0.005747126436781609,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-5.747126436781609,0.2
42,steady_m1,regime_marginal,observed,transit_rough,all,0.014814814814814808,0.0,0.3333333333333333,0.053369697266558686,-0.004310344827586207,0.006944444444444444,0.18055555555555547,0.0,0.0,0.0,0.0,0.0,-4.7892720306513406,0.2
42,steady_m1,regime_marginal,observed,transit_rough,stable,0.014814814814814808,0.0,0.3333333333333333,0.053369697266558686,-0.004310344827586207,0.006944444444444444,0.18055555555555547,0.0,0.0,0.0,0.0,0.0,-4.7892720306513406,0.2
42,steady_m1,regime_conditional,clean,all,all,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m1,regime_conditional,clean,all,stable,0.0,,0.0,,-0.004629629629629629,,,,,,0.0,-0.014814814814814814,-6.018518518518519,0.2
42,steady_m1,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
42,steady_m1,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.008333333333333333,,,,,,0.0,-0.010416666666666666,-10.648148148148149,0.2
