seed,scenario,method,alpha,view,regime,window,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,post_event_cells,post_event_fpr,false_onsets_per_1000_clean_cells
42,steady_m1,regime_marginal,1.0,observed,transit_smooth,stable,2160,72,2,15,70,2073,0.11764705882352941,0.027777777777777776,0.0449438202247191,0.007183908045977011,0.05939148244186629,0.5555555555555556,72,0.0,144,0.023148148148148147,1.0,1.0,0.3333333333333333,0.027777777777777776,0.027777777777777776,84,0.0,7.183908045977011
42,steady_m1,regime_marginal,1.0,observed,transit_rough,all,2160,72,6,12,66,2076,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.005747126436781609,0.13518343600645782,0.5833333333333334,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,90,0.011111111111111112,5.747126436781609
42,steady_m1,regime_marginal,1.0,observed,transit_rough,stable,2160,72,6,12,66,2076,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.005747126436781609,0.13518343600645782,0.5833333333333334,72,0.0,144,0.018518518518518517,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,90,0.011111111111111112,5.747126436781609
42,steady_m1,regime_marginal,0.2,clean,all,all,6480,0,0,55,0,6425,0.0,,0.0,0.008487654320987654,,,0,,0,0.019444444444444445,1.0,1.0,,,,270,0.0,2.932098765432099
42,steady_m1,regime_marginal,0.2,clean,all,stable,6480,0,0,55,0,6425,0.0,,0.0,0.008487654320987654,,,0,,0,0.019444444444444445,1.0,1.0,,,,270,0.0,2.932098765432099
42,steady_m1,regime_marginal,0.2,clean,warehouse,all,2160,0,0,50,0,2110,0.0,,0.0,0.023148148148148147,,,0,,0,0.05138888888888889,1.0,1.0,,,,96,0.0,6.481481481481482
42,steady_m1,regime_marginal,0.2,clean,warehouse,stable,2160,0,0,50,0,2110,0.0,,0.0,0.023148148148148147,,,0,,0,0.05138888888888889,1.0,1.0,,,,96,0.0,6.481481481481482
42,steady_m1,regime_marginal,0.2,clean,transit_smooth,all,2160,0,0,3,0,2157,0.0,,0.0,0.001388888888888889,,,0,,0,0.004166666666666667,1.0,1.0,,,,84,0.0,1.3888888888888888
42,steady_m1,regime_marginal,0.2,clean,transit_smooth,stable,2160,0,0,3,0,2157,0.0,,0.0,0.001388888888888889,,,0,,0,0.004166666666666667,1.0,1.0,,,,84,0.0,1.3888888888888888
42,steady_m1,regime_marginal,0.2,clean,transit_rough,all,2160,0,0,2,0,2158,0.0,,0.0,0.000925925925925926,,,0,,0,0.002777777777777778,1.0,1.0,,,,90,0.0,0.9259259259259259
42,steady_m1,regime_marginal,0.2,clean,transit_rough,stable,2160,0,0,2,0,2158,0.0,,0.0,0.000925925925925926,,,0,,0,0.002777777777777778,1.0,1.0,,,,90,0.0,0.9259259259259259
42,steady_m1,regime_marginal,0.2,observed,all,all,6480,216,19,55,197,6209,0.25675675675675674,0.08796296296296297,0.1310344827586207,0.008780332056194126,0.1427092689716986,0.75,216,0.013888888888888888,432,0.020061728395061727,1.0,1.0,0.3333333333333333,0.08796296296296297,0.08796296296296297,270,0.011111111111111112,3.1928480204342273
42,steady_m1,regime_marginal,0.2,observed,all,stable,6480,216,19,55,197,6209,0.25675675675675674,0.08796296296296297,0.1310344827586207,0.008780332056194126,0.1427092689716986,0.75,216,0.013888888888888888,432,0.020061728395061727,1.0,1.0,0.3333333333333333,0.08796296296296297,0.08796296296296297,270,0.011111111111111112,3.1928480204342273
42,steady_m1,regime_marginal,0.2,observed,warehouse,all,2160,72,11,49,61,2039,0.18333333333333332,0.1527777777777778,0.16666666666666666,0.02346743295019157,0.16594026441474377,0.6805555555555556,72,0.034722222222222224,144,0.05246913580246913,1.0,1.0,0.3333333333333333,0.1527777777777778,0.1527777777777778,96,0.020833333333333332,7.183908045977011
42,steady_m1,regime_marginal,0.2,observed,warehouse,stable,2160,72,11,49,61,2039,0.18333333333333332,0.1527777777777778,0.16666666666666666,0.02346743295019157,0.16594026441474377,0.6805555555555556,72,0.034722222222222224,144,0.05246913580246913,1.0,1.0,0.3333333333333333,0.1527777777777778,0.1527777777777778,96,0.020833333333333332,7.183908045977011
42,steady_m1,regime_marginal,0.2,observed,transit_smooth,all,2160,72,2,3,70,2085,0.4,0.027777777777777776,0.05194805194805195,0.0014367816091954023,0.14047857054452226,0.8055555555555556,72,0.0,144,0.004629629629629629,1.0,1.0,0.3333333333333333,0.027777777777777776,0.027777777777777776,84,0.0,1.4367816091954022
42,steady_m1,regime_marginal,0.2,observed,transit_smooth,stable,2160,72,2,3,70,2085,0.4,0.027777777777777776,0.05194805194805195,0.0014367816091954023,0.14047857054452226,0.8055555555555556,72,0.0,144,0.004629629629629629,1.0,1.0,0.3333333333333333,0.027777777777777776,0.027777777777777776,84,0.0,1.4367816091954022
42,steady_m1,regime_marginal,0.2,observed,transit_rough,all,2160,72,6,3,66,2085,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.0014367816091954023,0.1885531332730165,0.7638888888888888,72,0.006944444444444444,144,0.0030864197530864196,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,90,0.011111111111111112,0.9578544061302682
42,steady_m1,regime_marginal,0.2,observed,transit_rough,stable,2160,72,6,3,66,2085,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.0014367816091954023,0.1885531332730165,0.7638888888888888,72,0.006944444444444444,144,0.0030864197530864196,1.0,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,90,0.011111111111111112,0.9578544061302682
42,steady_m1,regime_conditional,1.0,clean,all,all,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,,270,0.025925925925925925,12.654320987654321
42,steady_m1,regime_conditional,1.0,clean,all,stable,6480,0,0,83,0,6397,0.0,,0.0,0.012808641975308642,,,0,,0,0.037037037037037035,1.0,1.0,,,,270,0.025925925925925925,12.654320987654321
42,steady_m1,regime_conditional,1.0,clean,warehouse,all,2160,0,0,37,0,2123,0.0,,0.0,0.01712962962962963,,,0,,0,0.04861111111111111,1.0,1.0,,,,96,0.020833333333333332,16.666666666666668
