seed,method,alpha,regime,channel,threshold,n_calibration_cells,calibration_fpr
45,regime_conditional,1.0,transit_rough,1,2.5943092585382774,720,0.011111111111111112
45,regime_conditional,1.0,transit_rough,2,2.477625600556352,720,0.011111111111111112
45,regime_conditional,1.0,transit_smooth,0,2.6413743722457577,720,0.011111111111111112
45,regime_conditional,1.0,transit_smooth,1,2.556690200483791,720,0.011111111111111112
45,regime_conditional,1.0,transit_smooth,2,2.5152302907966257,720,0.011111111111111112
45,regime_conditional,1.0,warehouse,0,2.3881247841829527,720,0.011111111111111112
45,regime_conditional,1.0,warehouse,1,2.4874685778122445,720,0.011111111111111112
45,regime_conditional,1.0,warehouse,2,2.221586986113076,720,0.011111111111111112
45,regime_conditional,0.2,transit_rough,0,1.1722625785483793,720,0.011111111111111112
45,regime_conditional,0.2,transit_rough,1,0.9932768981406593,720,0.011111111111111112
45,regime_conditional,0.2,transit_rough,2,0.818447391027492,720,0.011111111111111112
45,regime_conditional,0.2,transit_smooth,0,1.2202730468924239,720,0.011111111111111112
45,regime_conditional,0.2,transit_smooth,1,0.8886128544878867,720,0.011111111111111112
45,regime_conditional,0.2,transit_smooth,2,1.0079293514480414,720,0.011111111111111112
45,regime_conditional,0.2,warehouse,0,1.1663473155993744,720,0.011111111111111112
45,regime_conditional,0.2,warehouse,1,0.886622335090438,720,0.011111111111111112
45,regime_conditional,0.2,warehouse,2,0.733345780949951,720,0.011111111111111112
46,regime_marginal,1.0,transit_rough,0,2.5726208483958364,720,0.011111111111111112
46,regime_marginal,1.0,transit_rough,1,2.5690034127176147,720,0.011111111111111112
46,regime_marginal,1.0,transit_rough,2,2.6292908877625982,720,0.011111111111111112
46,regime_marginal,1.0,transit_smooth,0,2.5910451111280293,720,0.011111111111111112
46,regime_marginal,1.0,transit_smooth,1,2.699009255901606,720,0.011111111111111112
46,regime_marginal,1.0,transit_smooth,2,2.659911225510485,720,0.011111111111111112
46,regime_marginal,1.0,warehouse,0,2.3777179238660584,720,0.011111111111111112
46,regime_marginal,1.0,warehouse,1,2.4245515471987478,720,0.011111111111111112
46,regime_marginal,1.0,warehouse,2,2.146858552555906,720,0.011111111111111112
46,regime_marginal,0.2,transit_rough,0,1.8171282086739842,720,0.011111111111111112
46,regime_marginal,0.2,transit_rough,1,1.1667555497884459,720,0.011111111111111112
46,regime_marginal,0.2,transit_rough,2,1.2401941613305691,720,0.011111111111111112
46,regime_marginal,0.2,transit_smooth,0,1.6959050740338635,720,0.011111111111111112
46,regime_marginal,0.2,transit_smooth,1,1.4663846345093454,720,0.011111111111111112
46,regime_marginal,0.2,transit_smooth,2,1.4110673995676188,720,0.011111111111111112
46,regime_marginal,0.2,warehouse,0,1.2649193856678058,720,0.011111111111111112
46,regime_marginal,0.2,warehouse,1,1.2323328358735708,720,0.011111111111111112
46,regime_marginal,0.2,warehouse,2,0.9825038109558454,720,0.011111111111111112
46,regime_conditional,1.0,transit_rough,0,2.4389729344261903,720,0.011111111111111112
46,regime_conditional,1.0,transit_rough,1,2.7891156669399306,720,0.011111111111111112
46,regime_conditional,1.0,transit_rough,2,2.4916788583193012,720,0.011111111111111112
46,regime_conditional,1.0,transit_smooth,0,2.545682925643683,720,0.011111111111111112
46,regime_conditional,1.0,transit_smooth,1,2.5522536223173846,720,0.011111111111111112
46,regime_conditional,1.0,transit_smooth,2,2.477351517863573,720,0.011111111111111112
46,regime_conditional,1.0,warehouse,0,2.5396813994497847,720,0.011111111111111112
46,regime_conditional,1.0,warehouse,1,2.5124464400858217,720,0.011111111111111112
46,regime_conditional,1.0,warehouse,2,2.0754451730848618,720,0.011111111111111112
46,regime_conditional,0.2,transit_rough,0,1.3686580062962874,720,0.011111111111111112
46,regime_conditional,0.2,transit_rough,1,0.7719629664710803,720,0.011111111111111112
46,regime_conditional,0.2,transit_rough,2,0.9461115709107557,720,0.011111111111111112
46,regime_conditional,0.2,transit_smooth,0,1.2637479627685058,720,0.011111111111111112
46,regime_conditional,0.2,transit_smooth,1,0.9140865887077217,720,0.011111111111111112
46,regime_conditional,0.2,transit_smooth,2,0.9671055788750499,720,0.011111111111111112
46,regime_conditional,0.2,warehouse,0,1.0611649267297987,720,0.011111111111111112
46,regime_conditional,0.2,warehouse,1,0.9332853051134763,720,0.011111111111111112
46,regime_conditional,0.2,warehouse,2,0.7340300630786053,720,0.011111111111111112
