seed,scenario,method,view,regime,window,support,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,steady_k2,regime_marginal,observed,warehouse,stable,own,-0.010747051114023631,0.13068181818181818,-0.2567567567567567,-0.04644766956790397,0.032069530710835056,0.045454545454545456,-0.1553030303030304,-1.1102230246251565e-16,0.3257575757575758,0.3257575757575758,-0.0444444444444444,0.20777925531914893,-0.5822981366459619,-0.0444444444444444,0.0,0.09027777777777773,-0.02953374387331914,0.08333333333333333,sma_minus_point
42,steady_m05,regime_conditional,clean,all,all,common,0.0,,0.0,,-0.00468346253229974,,,,,,0.0,-0.018656716417910446,-7.428940568475452,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,all,all,own,0.0,,0.0,,-0.004572207866781509,,,,,,-0.0444444444444444,-0.018463239358761745,-7.324863623313236,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,all,stable,common,0.0,,0.0,,-0.00468346253229974,,,,,,0.0,-0.018656716417910446,-7.428940568475452,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,all,stable,own,0.0,,0.0,,-0.004572207866781509,,,,,,-0.0444444444444444,-0.018463239358761745,-7.324863623313236,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_rough,all,common,0.0,,0.0,,-0.003875968992248062,,,,,,0.0,-0.01111111111111111,-7.267441860465116,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_rough,all,own,0.0,,0.0,,-0.0038006029285099045,,,,,,-0.0444444444444444,-0.01111111111111111,-7.192075796726959,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_rough,stable,common,0.0,,0.0,,-0.003875968992248062,,,,,,0.0,-0.01111111111111111,-7.267441860465116,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_rough,stable,own,0.0,,0.0,,-0.0038006029285099045,,,,,,-0.0444444444444444,-0.01111111111111111,-7.192075796726959,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_smooth,all,common,0.0,,0.0,,-0.0024224806201550396,,,,,,0.0,-0.023809523809523808,-3.875968992248062,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_smooth,all,own,0.0,,0.0,,-0.0024763135228251503,,,,,,-0.0444444444444444,-0.023809523809523808,-3.9298018949181746,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_smooth,stable,common,0.0,,0.0,,-0.0024224806201550396,,,,,,0.0,-0.023809523809523808,-3.875968992248062,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,transit_smooth,stable,own,0.0,,0.0,,-0.0024763135228251503,,,,,,-0.0444444444444444,-0.023809523809523808,-3.9298018949181746,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,warehouse,all,common,0.0,,0.0,,-0.007751937984496124,,,,,,0.0,-0.02127659574468085,-11.143410852713178,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,warehouse,all,own,0.0,,0.0,,-0.007439707149009475,,,,,,-0.0444444444444444,-0.020833333333333332,-10.852713178294575,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,warehouse,stable,common,0.0,,0.0,,-0.007751937984496124,,,,,,0.0,-0.02127659574468085,-11.143410852713178,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,clean,warehouse,stable,own,0.0,,0.0,,-0.007439707149009475,,,,,,-0.0444444444444444,-0.020833333333333332,-10.852713178294575,-0.0444444444444444,0.0,,0.0,,sma_minus_point
42,steady_m05,regime_conditional,observed,all,all,common,0.0885377967228501,0.0594059405940594,0.173292922089499,0.050566088038889644,-0.0033388981636060105,-0.004950495049504951,0.11881188118811886,0.0,0.0594059405940594,0.06435643564356436,0.0,-0.00746268656716418,-7.0116861435726205,-0.0444444444444444,0.0,0.05555555555555556,0.08439538853681922,0.06481481481481481,sma_minus_point
42,steady_m05,regime_conditional,observed,all,all,own,0.08975588170219043,0.060368536853685366,0.17468223978014427,0.05045969022610659,-0.00326283482261837,-0.003827466079941326,0.12820865419875327,5.551115123125783e-17,0.060368536853685366,0.064998166483315,-0.0444444444444444,-0.007269209508015479,-6.942925309743569,-0.0444444444444444,0.0,0.05555555555555556,0.08439538853681922,0.06481481481481481,sma_minus_point
42,steady_m05,regime_conditional,observed,all,stable,common,0.0885377967228501,0.0594059405940594,0.173292922089499,0.050566088038889644,-0.0033388981636060105,-0.004950495049504951,0.11881188118811886,0.0,0.0594059405940594,0.06435643564356436,0.0,-0.00746268656716418,-7.0116861435726205,-0.0444444444444444,0.0,0.05555555555555556,0.08439538853681922,0.06481481481481481,sma_minus_point
42,steady_m05,regime_conditional,observed,all,stable,own,0.08975588170219043,0.060368536853685366,0.17468223978014427,0.05045969022610659,-0.00326283482261837,-0.003827466079941326,0.12820865419875327,5.551115123125783e-17,0.060368536853685366,0.064998166483315,-0.0444444444444444,-0.007269209508015479,-6.942925309743569,-0.0444444444444444,0.0,0.05555555555555556,0.08439538853681922,0.06481481481481481,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_rough,all,common,0.13713924583947756,0.09722222222222221,0.23040752351097177,0.04225912422968876,0.0,0.0,0.06944444444444442,0.0,0.09722222222222221,0.09722222222222221,0.0,0.02222222222222222,-5.02008032128514,-0.0444444444444444,0.0,0.09722222222222221,0.13736321000521104,0.0,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_rough,all,own,0.13736321000521104,0.09722222222222221,0.23238380809595202,0.044362957715215305,5.770207265843805e-06,0.0,0.06944444444444442,0.0,0.09722222222222221,0.09722222222222221,-0.0444444444444444,0.02222222222222222,-5.0143101140192945,-0.0444444444444444,0.0,0.09722222222222221,0.13736321000521104,0.0,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_rough,stable,common,0.13713924583947756,0.09722222222222221,0.23040752351097177,0.04225912422968876,0.0,0.0,0.06944444444444442,0.0,0.09722222222222221,0.09722222222222221,0.0,0.02222222222222222,-5.02008032128514,-0.0444444444444444,0.0,0.09722222222222221,0.13736321000521104,0.0,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_rough,stable,own,0.13736321000521104,0.09722222222222221,0.23238380809595202,0.044362957715215305,5.770207265843805e-06,0.0,0.06944444444444442,0.0,0.09722222222222221,0.09722222222222221,-0.0444444444444444,0.02222222222222222,-5.0143101140192945,-0.0444444444444444,0.0,0.09722222222222221,0.13736321000521104,0.0,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_smooth,all,common,-0.023529411764705882,-0.015625,-0.047619047619047616,0.025069340610109625,-0.003,-0.0234375,0.171875,0.0,-0.015625,-0.015625,0.0,-0.023809523809523808,-4.5,-0.0444444444444444,0.0,-0.013888888888888888,-0.02127659574468085,0.1111111111111111,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_smooth,all,own,-0.02127659574468085,-0.013888888888888888,-0.045454545454545456,0.023315334257613236,-0.003057471264367816,-0.020833333333333332,0.1840277777777778,0.0,-0.013888888888888888,-0.013888888888888888,-0.0444444444444444,-0.023809523809523808,-4.557471264367816,-0.0444444444444444,0.0,-0.013888888888888888,-0.02127659574468085,0.1111111111111111,sma_minus_point
42,steady_m05,regime_conditional,observed,transit_smooth,stable,common,-0.023529411764705882,-0.015625,-0.047619047619047616,0.025069340610109625,-0.003,-0.0234375,0.171875,0.0,-0.015625,-0.015625,0.0,-0.023809523809523808,-4.5,-0.0444444444444444,0.0,-0.013888888888888888,-0.02127659574468085,0.1111111111111111,sma_minus_point
