scenario,method,temporal,view,regime,window,support,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
steady_k2,regime_conditional,ewma,observed,warehouse,stable,common,0.595287955001994,0.054850314896547174,5,0.6996484238941136,0.07980708397587083,5,0.5232131052534484,0.06797517469695331,5,0.6246850649459178,0.04442254362342112,5,0.0438457981299352,0.011909107770523229,5,0.2114082636711947,0.05787127506233579,5,0.9051452020202021,0.08564958617018456,5,0.6666666666666666,7.850462293418876e-17,5,0.59336903517938,0.08571733274139899,5,0.46358085161964474,0.08604199907897982,5,1.0,0.0,5,0.25183359280401313,0.10643240517635948,5,11.263927479436342,5.128764996580881,5,1.0,0.0,5,0.9555555555555555,0.0,5,0.7027777777777777,0.0686411877397309,5,0.6074501971155648,0.04528494170023826,5,0.0,0.0,5
steady_k2,regime_conditional,ewma,observed,warehouse,stable,own,0.6074501971155648,0.04528494170023826,5,0.7027777777777777,0.0686411877397309,5,0.5390512608399565,0.058533159959942835,5,0.6347282773071713,0.034887330703494195,5,0.043849206349206346,0.011298205140879314,5,0.21388888888888888,0.04871021643541717,5,0.9111111111111111,0.08074689918749238,5,0.6666666666666666,0.0,5,0.6055555555555555,0.07893484576879344,5,0.4666666666666666,0.07256861376451738,5,1.0,0.0,5,0.2591468253968254,0.1086310293904199,5,11.11111111111111,5.1620677542649585,5,1.0,0.0,5,0.9555555555555555,0.0,5,0.7027777777777777,0.0686411877397309,5,0.6074501971155648,0.04528494170023826,5,0.0,0.0,5
steady_k2,regime_conditional,point,clean,all,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010885012919896641,0.0014199034005383247,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.015162389676431682,0.007030055719963176,5,10.78811369509044,1.3722639396801033,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,all,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01089506172839506,0.0012470434475825266,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.015068988749137114,0.0069741418642091536,5,10.802469135802468,1.200335585347535,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,all,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010885012919896641,0.0014199034005383247,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.015162389676431682,0.007030055719963176,5,10.78811369509044,1.3722639396801033,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,all,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01089506172839506,0.0012470434475825266,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.015068988749137114,0.0069741418642091536,5,10.802469135802468,1.200335585347535,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_rough,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01056201550387597,0.0017602618337776111,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.014711199294532629,0.00479984649712118,5,10.465116279069766,1.6642988408253552,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_rough,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010277777777777778,0.0018919274760835693,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.014711199294532629,0.00479984649712118,5,10.185185185185185,1.7930478454663965,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_rough,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01056201550387597,0.0017602618337776111,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.014711199294532629,0.00479984649712118,5,10.465116279069766,1.6642988408253552,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_rough,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.010277777777777778,0.0018919274760835693,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.014711199294532629,0.00479984649712118,5,10.185185185185185,1.7930478454663965,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_smooth,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009689922480620155,0.0023486821014613996,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013132017034456059,0.010864110849840165,5,9.689922480620154,2.3486821014613994,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_smooth,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009537037037037037,0.002210617849317282,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013015873015873014,0.010715755337187391,5,9.537037037037036,2.210617849317282,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_smooth,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009689922480620155,0.0023486821014613996,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013132017034456059,0.010864110849840165,5,9.689922480620154,2.3486821014613994,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,transit_smooth,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.009537037037037037,0.002210617849317282,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.013015873015873014,0.010715755337187391,5,9.537037037037036,2.210617849317282,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,warehouse,all,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012403100775193798,0.003401839085570147,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.017133173326414113,0.011186182033260371,5,12.209302325581394,3.363673441416624,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,warehouse,all,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01287037037037037,0.003163768437642571,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.016964285714285716,0.011103524106818653,5,12.685185185185185,3.1671539586087167,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,warehouse,stable,common,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.012403100775193798,0.003401839085570147,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.017133173326414113,0.011186182033260371,5,12.209302325581394,3.363673441416624,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,point,clean,warehouse,stable,own,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.01287037037037037,0.003163768437642571,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.016964285714285716,0.011103524106818653,5,12.685185185185185,3.1671539586087167,5,1.0,0.0,5,0.9555555555555555,0.0,5,,,0,0.0,0.0,5,,,0
