scenario,method,view,regime,window,support,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
steady_k2,regime_conditional,clean,warehouse,stable,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0007472006890611536,0.002224837734111188,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.00038925843803892595,0.009427427908568655,5,-1.5503875968992253,1.5308245122460138,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,warehouse,stable,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0018583118001722645,0.009399655212911322,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,0.0040353447365642486,0.028455610598269093,5,-5.902239448751077,5.226653126409404,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,observed,all,all,common,sma_minus_ewma,-0.10575247170791857,0.01683099891367996,5,-0.10565739275097305,0.026007962886558614,5,-0.10354206542139019,0.015159852749613616,5,-0.16731444237459997,0.020466991473562804,5,0.011852971323302883,0.0021612330694963755,5,-0.00811593096565949,0.02028062005688796,5,-0.01583306717768551,0.011689508294454549,5,0.0,0.0,5,-0.09805835652689696,0.039275405598035634,5,-0.1046339453158361,0.04911354606384768,5,0.0,0.0,5,0.11773821259571027,0.015634152821512558,5,-1.6928668515222909,0.9725699835113063,5,-0.0444444444444444,0.0,5,0.0,0.0,5,-0.13518518518518516,0.033328510453566586,5,-0.12124081216096536,0.022295595330249985,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,all,common,sma_minus_point,-0.0588709319026824,0.04601391165235452,5,0.12988338287923087,0.05200927659768011,5,-0.2848411016830596,0.03793896193368822,5,-0.12792097146187445,0.06608537463265553,5,0.041375054748775356,0.004348562889267844,5,0.15303412173900835,0.05635247499914689,5,-0.05189828642559404,0.05768867179498668,5,0.0,0.0,5,0.18453054238426322,0.045642384445799704,5,0.06174436656710691,0.04227511886412191,5,0.0,0.0,5,0.34601431577829156,0.04367954726910539,5,-3.7346630306576563,1.3865279302054994,5,-0.0444444444444444,0.0,5,0.0,0.0,5,0.0953703703703704,0.03469906635287638,5,-0.0721013909946492,0.041585551942163915,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,all,own,sma_minus_ewma,-0.10825197078623308,0.015499988986576384,5,-0.09991196666340389,0.022988787072599125,5,-0.11076478881145149,0.01917782682755939,5,-0.16818840953548736,0.016042327600609235,5,0.012650100196059607,0.001839520414495371,5,-0.006202867864477585,0.011881438829704018,5,-0.01673454675610535,0.017365532667198695,5,4.4408920985006264e-17,6.080941944488118e-17,5,-0.09278489443532559,0.0314791377623104,5,-0.09802762773618731,0.024638155054217705,5,-0.0444444444444444,0.0,5,0.11392169842598558,0.015960240549336743,5,-1.525352749572375,1.0263612247195648,5,-0.0444444444444444,0.0,5,0.0,0.0,5,-0.13518518518518516,0.033328510453566586,5,-0.12124081216096536,0.022295595330249985,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,all,own,sma_minus_point,-0.05911254961991691,0.04866269780479535,5,0.13064358889215164,0.06259457360243321,5,-0.2887392021709426,0.034393203533226994,5,-0.1300032333553119,0.06050422342476984,5,0.041419941465900875,0.004274485545932285,5,0.15213046546885575,0.05833029871928433,5,-0.051919731941290556,0.06307961185009615,5,4.4408920985006264e-17,6.080941944488118e-17,5,0.18499288334245217,0.052218111376786294,5,0.06400940930084972,0.049378276491789615,5,-0.0444444444444444,0.0,5,0.34611747232726314,0.043653559446848,5,-3.6748236490432737,1.4015629210881466,5,-0.0444444444444444,0.0,5,0.0,0.0,5,0.0953703703703704,0.03469906635287638,5,-0.0721013909946492,0.041585551942163915,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,stable,common,sma_minus_ewma,-0.10575247170791857,0.01683099891367996,5,-0.10565739275097305,0.026007962886558614,5,-0.10354206542139019,0.015159852749613616,5,-0.16731444237459997,0.020466991473562804,5,0.011852971323302883,0.0021612330694963755,5,-0.00811593096565949,0.02028062005688796,5,-0.01583306717768551,0.011689508294454549,5,0.0,0.0,5,-0.09805835652689696,0.039275405598035634,5,-0.1046339453158361,0.04911354606384768,5,0.0,0.0,5,0.11773821259571027,0.015634152821512558,5,-1.6928668515222909,0.9725699835113063,5,-0.0444444444444444,0.0,5,0.0,0.0,5,-0.13518518518518516,0.033328510453566586,5,-0.12124081216096536,0.022295595330249985,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,stable,common,sma_minus_point,-0.0588709319026824,0.04601391165235452,5,0.12988338287923087,0.05200927659768011,5,-0.2848411016830596,0.03793896193368822,5,-0.12792097146187445,0.06608537463265553,5,0.041375054748775356,0.004348562889267844,5,0.15303412173900835,0.05635247499914689,5,-0.05189828642559404,0.05768867179498668,5,0.0,0.0,5,0.18453054238426322,0.045642384445799704,5,0.06174436656710691,0.04227511886412191,5,0.0,0.0,5,0.34601431577829156,0.04367954726910539,5,-3.7346630306576563,1.3865279302054994,5,-0.0444444444444444,0.0,5,0.0,0.0,5,0.0953703703703704,0.03469906635287638,5,-0.0721013909946492,0.041585551942163915,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,stable,own,sma_minus_ewma,-0.10825197078623308,0.015499988986576384,5,-0.09991196666340389,0.022988787072599125,5,-0.11076478881145149,0.01917782682755939,5,-0.16818840953548736,0.016042327600609235,5,0.012650100196059607,0.001839520414495371,5,-0.006202867864477585,0.011881438829704018,5,-0.01673454675610535,0.017365532667198695,5,4.4408920985006264e-17,6.080941944488118e-17,5,-0.09278489443532559,0.0314791377623104,5,-0.09802762773618731,0.024638155054217705,5,-0.0444444444444444,0.0,5,0.11392169842598558,0.015960240549336743,5,-1.525352749572375,1.0263612247195648,5,-0.0444444444444444,0.0,5,0.0,0.0,5,-0.13518518518518516,0.033328510453566586,5,-0.12124081216096536,0.022295595330249985,5,0.059259259259259255,0.047031204071112206,5
steady_k2,regime_conditional,observed,all,stable,own,sma_minus_point,-0.05911254961991691,0.04866269780479535,5,0.13064358889215164,0.06259457360243321,5,-0.2887392021709426,0.034393203533226994,5,-0.1300032333553119,0.06050422342476984,5,0.041419941465900875,0.004274485545932285,5,0.15213046546885575,0.05833029871928433,5,-0.051919731941290556,0.06307961185009615,5,4.4408920985006264e-17,6.080941944488118e-17,5,0.18499288334245217,0.052218111376786294,5,0.06400940930084972,0.049378276491789615,5,-0.0444444444444444,0.0,5,0.34611747232726314,0.043653559446848,5,-3.6748236490432737,1.4015629210881466,5,-0.0444444444444444,0.0,5,0.0,0.0,5,0.0953703703703704,0.03469906635287638,5,-0.0721013909946492,0.041585551942163915,5,0.059259259259259255,0.047031204071112206,5
