seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,event_channel_count
42,switch_d4,regime_conditional,point,clean,0.16666666666666666,0.16666666666666666,0.041666666666666664,3.0,7.75,1.0,0.0,24
42,switch_d4,regime_conditional,point,observed,1.0,1.0,0.041666666666666664,1.4166666666666667,1.4166666666666667,1.0,0.0,24
42,switch_d4,regime_conditional,sma,clean,0.08333333333333333,0.08333333333333333,0.0,0.5,8.291666666666666,0.8611111111111112,0.041666666666666664,24
42,switch_d4,regime_conditional,sma,observed,0.875,0.8333333333333334,0.041666666666666664,3.2,3.6666666666666665,0.8611111111111112,0.041666666666666664,24
42,switch_d4,regime_marginal,ewma,clean,0.125,0.08333333333333333,0.041666666666666664,0.0,8.25,1.0,0.0,24
42,switch_d4,regime_marginal,ewma,observed,0.7916666666666666,0.7916666666666666,0.08333333333333333,3.473684210526316,4.0,1.0,0.0,24
42,switch_d4,regime_marginal,point,clean,0.08333333333333333,0.08333333333333333,0.0,0.0,8.25,1.0,0.0,24
42,switch_d4,regime_marginal,point,observed,0.9583333333333334,0.9583333333333334,0.0,1.6956521739130435,1.875,1.0,0.0,24
42,switch_d4,regime_marginal,sma,clean,0.125,0.08333333333333333,0.041666666666666664,1.0,8.333333333333334,0.8611111111111112,0.041666666666666664,24
42,switch_d4,regime_marginal,sma,observed,0.7083333333333334,0.6666666666666666,0.08333333333333333,4.375,5.166666666666667,0.8611111111111112,0.041666666666666664,24
43,steady_k2,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,3.25,8.270833333333334,1.0,0.0,48
43,steady_k2,regime_conditional,ewma,observed,0.9375,0.9375,0.020833333333333332,2.066666666666667,2.5625,1.0,0.0,48
43,steady_k2,regime_conditional,point,clean,0.08333333333333333,0.08333333333333333,0.0,2.0,8.416666666666666,1.0,0.0,48
43,steady_k2,regime_conditional,point,observed,0.8125,0.8125,0.020833333333333332,0.717948717948718,2.2083333333333335,1.0,0.0,48
43,steady_k2,regime_conditional,sma,clean,0.020833333333333332,0.020833333333333332,0.0,4.0,8.833333333333334,0.9722222222222222,0.0,48
43,steady_k2,regime_conditional,sma,observed,0.8958333333333334,0.875,0.020833333333333332,3.7142857142857144,4.125,0.9722222222222222,0.0,48
