scenario,method,view,comparison,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count
steady_m2_r10_k1,regime_conditional,clean,sma_minus_point,-0.075,0.03486083443891981,5,-0.075,0.03486083443891981,5,-0.016666666666666666,0.02282177322938192,5,1.6666666666666667,0.47140452079103157,2,0.31666666666666643,0.24755751295854928,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_conditional,observed,sma_minus_ewma,-0.07500000000000002,0.061801654059130504,5,-0.08333333333333333,0.058925565098878946,5,0.008333333333333333,0.04564354645876384,5,1.1796894409937888,0.23131552786899892,5,1.3000000000000003,0.31650215024721573,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_conditional,observed,sma_minus_point,-0.03333333333333337,0.06180165405913052,5,-0.05833333333333335,0.07569125885243728,5,0.0,0.02946278254943948,5,2.104195369847544,0.18804368300736682,5,2.0833333333333335,0.2990145853001527,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_marginal,clean,sma_minus_ewma,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,-0.008333333333333333,0.018633899812498245,5,2.0,,1,0.1,0.18066236157232304,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_marginal,clean,sma_minus_point,-0.058333333333333334,0.08640183897219884,5,-0.06666666666666668,0.0756912588524373,5,-0.008333333333333333,0.018633899812498245,5,4.2,,1,0.31666666666666676,0.3870741387497866,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_marginal,observed,sma_minus_ewma,-0.13333333333333336,0.03486083443891984,5,-0.14166666666666666,0.04750730937913073,5,-0.008333333333333335,0.01863389981249825,5,0.8687319568975912,0.5716272322817294,5,0.8583333333333332,0.35551215012835885,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m2_r10_k1,regime_marginal,observed,sma_minus_point,-0.15833333333333335,0.08014743359029733,5,-0.18333333333333335,0.10458250331675949,5,0.008333333333333333,0.03486083443891982,5,2.782136632268884,0.8554245373912357,5,2.475,0.6170325491144425,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m4,regime_conditional,clean,sma_minus_ewma,-0.041666666666666664,0.05892556509887897,5,-0.041666666666666664,0.05892556509887897,5,0.0,0.02946278254943948,5,0.25,0.3535533905932738,2,0.19166666666666643,0.25103950552320103,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m4,regime_conditional,clean,sma_minus_point,-0.075,0.03486083443891981,5,-0.075,0.03486083443891981,5,-0.016666666666666666,0.02282177322938192,5,1.6666666666666667,0.47140452079103157,2,0.31666666666666643,0.24755751295854928,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
steady_m4,regime_conditional,observed,sma_minus_ewma,-0.033333333333333305,0.01863389981249823,5,-0.04166666666666667,0.029462782549439494,5,0.016666666666666666,0.02282177322938192,5,1.1796442687747035,0.32557583693386316,5,1.3750000000000002,0.5170697352496191,5,-0.061111111111111116,0.03878955567713596,5,0.03333333333333333,0.018633899812498245,5
