seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped,event_channel_count
43,duration4,regime_conditional,ewma,observed,0.16666666666666666,0.16666666666666666,0.0,2.0,3.6666666666666665,1.0,0.0,0.9166666666666666,24
43,duration4,regime_conditional,point,clean,0.0,0.0,0.0,,4.0,1.0,0.0,1.0,24
43,duration4,regime_conditional,point,observed,0.25,0.25,0.0,1.1666666666666667,3.2916666666666665,1.0,0.0,0.8229166666666666,24
43,duration4,regime_marginal,carry,clean,0.041666666666666664,0.041666666666666664,0.0,0.0,3.8333333333333335,1.0,0.0,0.9583333333333334,24
43,duration4,regime_marginal,carry,observed,0.041666666666666664,0.041666666666666664,0.0,0.0,3.8333333333333335,1.0,0.0,0.9583333333333334,24
43,duration4,regime_marginal,cusum,clean,0.041666666666666664,0.0,0.041666666666666664,,4.0,1.0,0.0,1.0,24
43,duration4,regime_marginal,cusum,observed,0.041666666666666664,0.0,0.041666666666666664,,4.0,1.0,0.0,1.0,24
43,duration4,regime_marginal,ewma,clean,0.041666666666666664,0.041666666666666664,0.0,0.0,3.8333333333333335,1.0,0.0,0.9583333333333334,24
43,duration4,regime_marginal,ewma,observed,0.041666666666666664,0.041666666666666664,0.0,0.0,3.8333333333333335,1.0,0.0,0.9583333333333334,24
43,duration4,regime_marginal,point,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,3.9583333333333335,1.0,0.0,0.9895833333333334,24
43,duration4,regime_marginal,point,observed,0.16666666666666666,0.16666666666666666,0.0,0.75,3.4583333333333335,1.0,0.0,0.8645833333333334,24
43,magnitude2,regime_conditional,carry,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,magnitude2,regime_conditional,carry,observed,1.0,1.0,0.0,1.6666666666666667,1.6666666666666667,1.0,0.0,0.1388888888888889,24
43,magnitude2,regime_conditional,cusum,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude2,regime_conditional,cusum,observed,0.9583333333333334,0.9166666666666666,0.041666666666666664,2.4545454545454546,3.25,1.0,0.0,0.2708333333333333,24
43,magnitude2,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,magnitude2,regime_conditional,ewma,observed,1.0,1.0,0.0,1.6666666666666667,1.6666666666666667,1.0,0.0,0.1388888888888889,24
43,magnitude2,regime_conditional,point,clean,0.25,0.25,0.0,8.166666666666666,11.041666666666666,1.0,0.0,0.9201388888888888,24
43,magnitude2,regime_conditional,point,observed,0.9583333333333334,0.9583333333333334,0.0,1.0434782608695652,1.5,1.0,0.0,0.125,24
43,magnitude2,regime_marginal,carry,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude2,regime_marginal,carry,observed,0.875,0.875,0.0,3.9047619047619047,4.916666666666667,1.0,0.0,0.40972222222222227,24
43,magnitude2,regime_marginal,cusum,clean,0.041666666666666664,0.0,0.041666666666666664,,12.0,1.0,0.0,1.0,24
43,magnitude2,regime_marginal,cusum,observed,0.8333333333333334,0.7916666666666666,0.041666666666666664,6.947368421052632,8.0,1.0,0.0,0.6666666666666666,24
43,magnitude2,regime_marginal,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude2,regime_marginal,ewma,observed,0.875,0.875,0.0,3.9047619047619047,4.916666666666667,1.0,0.0,0.40972222222222227,24
43,magnitude2,regime_marginal,point,clean,0.20833333333333334,0.20833333333333334,0.0,7.8,11.125,1.0,0.0,0.9270833333333334,24
43,magnitude2,regime_marginal,point,observed,0.9583333333333334,0.9583333333333334,0.0,2.0869565217391304,2.5,1.0,0.0,0.20833333333333334,24
43,magnitude4,regime_conditional,carry,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,magnitude4,regime_conditional,carry,observed,1.0,1.0,0.0,0.5833333333333334,0.5833333333333334,1.0,0.0,0.048611111111111105,24
43,magnitude4,regime_conditional,cusum,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude4,regime_conditional,cusum,observed,1.0,0.6666666666666666,0.3333333333333333,1.1875,4.791666666666667,1.0,0.0,0.3993055555555556,24
43,magnitude4,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,magnitude4,regime_conditional,ewma,observed,1.0,1.0,0.0,0.5833333333333334,0.5833333333333334,1.0,0.0,0.048611111111111105,24
43,magnitude4,regime_conditional,point,clean,0.25,0.25,0.0,8.166666666666666,11.041666666666666,1.0,0.0,0.9201388888888888,24
43,magnitude4,regime_conditional,point,observed,1.0,1.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,0.006944444444444444,24
43,magnitude4,regime_marginal,carry,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude4,regime_marginal,carry,observed,1.0,1.0,0.0,1.3333333333333333,1.3333333333333333,1.0,0.0,0.1111111111111111,24
43,magnitude4,regime_marginal,cusum,clean,0.041666666666666664,0.0,0.041666666666666664,,12.0,1.0,0.0,1.0,24
43,magnitude4,regime_marginal,cusum,observed,1.0,0.875,0.20833333333333334,3.5714285714285716,4.625,1.0,0.0,0.3854166666666667,24
43,magnitude4,regime_marginal,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,magnitude4,regime_marginal,ewma,observed,1.0,1.0,0.0,1.3333333333333333,1.3333333333333333,1.0,0.0,0.1111111111111111,24
43,magnitude4,regime_marginal,point,clean,0.20833333333333334,0.20833333333333334,0.0,7.8,11.125,1.0,0.0,0.9270833333333334,24
43,magnitude4,regime_marginal,point,observed,1.0,1.0,0.0,0.041666666666666664,0.041666666666666664,1.0,0.0,0.003472222222222222,24
43,steady_d12_n2_m1,regime_conditional,carry,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,steady_d12_n2_m1,regime_conditional,carry,observed,0.875,0.875,0.0,5.0476190476190474,5.916666666666667,1.0,0.0,0.4930555555555556,24
43,steady_d12_n2_m1,regime_conditional,cusum,clean,0.08333333333333333,0.08333333333333333,0.041666666666666664,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,steady_d12_n2_m1,regime_conditional,cusum,observed,0.7916666666666666,0.7916666666666666,0.041666666666666664,5.842105263157895,7.125,1.0,0.0,0.59375,24
43,steady_d12_n2_m1,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.0,11.583333333333334,1.0,0.0,0.9652777777777778,24
43,steady_d12_n2_m1,regime_conditional,ewma,observed,0.875,0.875,0.0,5.0476190476190474,5.916666666666667,1.0,0.0,0.4930555555555556,24
43,steady_d12_n2_m1,regime_conditional,point,clean,0.25,0.25,0.0,8.166666666666666,11.041666666666666,1.0,0.0,0.9201388888888888,24
43,steady_d12_n2_m1,regime_conditional,point,observed,0.7916666666666666,0.7916666666666666,0.0,5.157894736842105,6.583333333333333,1.0,0.0,0.548611111111111,24
43,steady_d12_n2_m1,regime_marginal,carry,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,steady_d12_n2_m1,regime_marginal,carry,observed,0.375,0.375,0.0,6.0,9.75,1.0,0.0,0.8125,24
43,steady_d12_n2_m1,regime_marginal,cusum,clean,0.041666666666666664,0.0,0.041666666666666664,,12.0,1.0,0.0,1.0,24
43,steady_d12_n2_m1,regime_marginal,cusum,observed,0.25,0.20833333333333334,0.041666666666666664,8.8,11.333333333333334,1.0,0.0,0.9444444444444445,24
43,steady_d12_n2_m1,regime_marginal,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,11.416666666666666,1.0,0.0,0.9513888888888888,24
43,steady_d12_n2_m1,regime_marginal,ewma,observed,0.375,0.375,0.0,6.0,9.75,1.0,0.0,0.8125,24
43,steady_d12_n2_m1,regime_marginal,point,clean,0.20833333333333334,0.20833333333333334,0.0,7.8,11.125,1.0,0.0,0.9270833333333334,24
43,steady_d12_n2_m1,regime_marginal,point,observed,0.625,0.625,0.0,5.733333333333333,8.083333333333334,1.0,0.0,0.6736111111111112,24
43,switch_after6,regime_conditional,carry,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,11.791666666666666,1.0,0.0,0.9826388888888888,24
43,switch_after6,regime_conditional,carry,observed,0.875,0.875,0.0,4.333333333333333,5.291666666666667,1.0,0.0,0.44097222222222227,24
43,switch_after6,regime_conditional,cusum,clean,0.041666666666666664,0.041666666666666664,0.0,8.0,11.833333333333334,1.0,0.0,0.9861111111111112,24
43,switch_after6,regime_conditional,cusum,observed,0.7916666666666666,0.7916666666666666,0.0,5.473684210526316,6.833333333333333,1.0,0.0,0.5694444444444444,24
43,switch_after6,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,7.5,11.625,1.0,0.0,0.96875,24
43,switch_after6,regime_conditional,ewma,observed,0.8333333333333334,0.8333333333333334,0.0,4.6,5.833333333333333,1.0,0.0,0.4861111111111111,24
43,switch_after6,regime_conditional,point,clean,0.16666666666666666,0.16666666666666666,0.041666666666666664,5.5,10.916666666666666,1.0,0.0,0.9097222222222222,24
43,switch_after6,regime_conditional,point,observed,0.7916666666666666,0.7916666666666666,0.041666666666666664,4.2105263157894735,5.833333333333333,1.0,0.0,0.4861111111111111,24
43,switch_after6,regime_marginal,carry,clean,0.041666666666666664,0.041666666666666664,0.0,1.0,11.541666666666666,1.0,0.0,0.9618055555555555,24
43,switch_after6,regime_marginal,carry,observed,0.5833333333333334,0.5833333333333334,0.0,5.928571428571429,8.458333333333334,1.0,0.0,0.7048611111111112,24
