seed,scenario,method,temporal,view,event_index,sequence_index,channel,start,end_exclusive,duration,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped
42,steady_d12_n2_m1,regime_conditional,cusum,clean,16,8,2,12,24,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,17,8,0,55,67,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,18,9,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,19,9,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,21,10,1,14,26,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,22,11,1,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,cusum,clean,23,11,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,1,0,2,1,13,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_conditional,carry,clean,2,1,1,0,12,12,True,True,False,10.0,10,1.0,False,0.8333333333333334
42,steady_d12_n2_m1,regime_conditional,carry,clean,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,4,2,0,104,116,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,6,3,2,142,154,12,True,True,False,7.0,7,1.0,False,0.5833333333333334
42,steady_d12_n2_m1,regime_conditional,carry,clean,7,3,2,88,100,12,True,True,False,3.0,3,1.0,False,0.25
42,steady_d12_n2_m1,regime_conditional,carry,clean,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,9,4,1,39,51,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,12,6,0,75,87,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,13,6,1,5,17,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,14,7,1,140,152,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,15,7,0,9,21,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,16,8,2,12,24,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,17,8,0,55,67,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,18,9,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,19,9,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,21,10,1,14,26,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_conditional,carry,clean,22,11,1,1,13,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_conditional,carry,clean,23,11,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,1,0,2,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,2,1,1,0,12,12,True,True,False,8.0,8,1.0,False,0.6666666666666666
42,steady_d12_n2_m1,regime_marginal,point,observed,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,4,2,0,104,116,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,6,3,2,142,154,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,7,3,2,88,100,12,True,True,False,1.0,1,1.0,False,0.08333333333333333
42,steady_d12_n2_m1,regime_marginal,point,observed,8,4,0,101,113,12,True,True,False,11.0,11,1.0,False,0.9166666666666666
42,steady_d12_n2_m1,regime_marginal,point,observed,9,4,1,39,51,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_marginal,point,observed,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,12,6,0,75,87,12,True,True,False,3.0,3,1.0,False,0.25
42,steady_d12_n2_m1,regime_marginal,point,observed,13,6,1,5,17,12,True,True,False,1.0,1,1.0,False,0.08333333333333333
42,steady_d12_n2_m1,regime_marginal,point,observed,14,7,1,140,152,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,15,7,0,9,21,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,16,8,2,12,24,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_marginal,point,observed,17,8,0,55,67,12,True,True,False,9.0,9,1.0,False,0.75
42,steady_d12_n2_m1,regime_marginal,point,observed,18,9,2,128,140,12,True,True,False,7.0,7,1.0,False,0.5833333333333334
42,steady_d12_n2_m1,regime_marginal,point,observed,19,9,0,74,86,12,True,True,False,0.0,0,1.0,False,0.0
42,steady_d12_n2_m1,regime_marginal,point,observed,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,observed,21,10,1,14,26,12,True,True,False,5.0,5,1.0,False,0.4166666666666667
42,steady_d12_n2_m1,regime_marginal,point,observed,22,11,1,1,13,12,True,True,False,3.0,3,1.0,False,0.25
42,steady_d12_n2_m1,regime_marginal,point,observed,23,11,0,74,86,12,True,True,False,4.0,4,1.0,False,0.3333333333333333
42,steady_d12_n2_m1,regime_marginal,ewma,observed,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,observed,1,0,2,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,observed,2,1,1,0,12,12,True,True,False,8.0,8,1.0,False,0.6666666666666666
42,steady_d12_n2_m1,regime_marginal,ewma,observed,3,1,2,63,75,12,True,True,False,9.0,9,1.0,False,0.75
42,steady_d12_n2_m1,regime_marginal,ewma,observed,4,2,0,104,116,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,observed,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,observed,6,3,2,142,154,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,observed,7,3,2,88,100,12,True,True,False,1.0,1,1.0,False,0.08333333333333333
42,steady_d12_n2_m1,regime_marginal,ewma,observed,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
