scenario,method,temporal,view,regime,window,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
count1,regime_conditional,cusum,clean,transit_smooth,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018518518518518517,0.015260231225786583,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0375,0.06319062870042959,5,4.444444444444445,2.8084723866857595,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,warehouse,all,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018425925925925925,0.014970965269393744,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0,0.0,5,5.277777777777779,2.8651386012529265,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,warehouse,record_stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018425925925925925,0.014970965269393744,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0,0.0,5,5.277777777777779,2.8651386012529265,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,clean,warehouse,stable,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.018425925925925925,0.014970965269393744,5,,,0,,,0,,,0,,,0,,,0,1.0,0.0,5,0.0,0.0,5,5.277777777777779,2.8651386012529265,5,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0
count1,regime_conditional,cusum,observed,all,all,0.19296483631646572,0.028268253771689945,5,0.3013888888888889,0.09141906796535568,5,0.14851627051609526,0.02946089410195852,5,0.12293021894189746,0.03267723923671119,5,0.0413510101010101,0.018227970958642245,5,0.059027777777777776,0.03747748809882449,5,0.6625,0.06394924685122966,5,0.3333333333333333,0.0,5,0.3013888888888889,0.09141906796535568,5,0.2777777777777778,0.09635025642716394,5,1.0,0.0,5,0.4569444444444445,0.044844123030452626,5,5.4608585858585865,1.0968781789074527,5,1.0,0.0,5,1.0,0.0,5,0.3013888888888889,0.09141906796535568,5,0.19296483631646572,0.028268253771689945,5,0.0,0.0,5
count1,regime_conditional,cusum,observed,all,record_stable,0.19296483631646572,0.028268253771689945,5,0.3013888888888889,0.09141906796535568,5,0.14851627051609526,0.02946089410195852,5,0.12293021894189746,0.03267723923671119,5,0.0413510101010101,0.018227970958642245,5,0.059027777777777776,0.03747748809882449,5,0.6625,0.06394924685122966,5,0.3333333333333333,0.0,5,0.3013888888888889,0.09141906796535568,5,0.2777777777777778,0.09635025642716394,5,1.0,0.0,5,0.4569444444444445,0.044844123030452626,5,5.4608585858585865,1.0968781789074527,5,1.0,0.0,5,1.0,0.0,5,0.3013888888888889,0.09141906796535568,5,0.19296483631646572,0.028268253771689945,5,0.0,0.0,5
count1,regime_conditional,cusum,observed,all,stable,0.19296483631646572,0.028268253771689945,5,0.3013888888888889,0.09141906796535568,5,0.14851627051609526,0.02946089410195852,5,0.12293021894189746,0.03267723923671119,5,0.0413510101010101,0.018227970958642245,5,0.059027777777777776,0.03747748809882449,5,0.6625,0.06394924685122966,5,0.3333333333333333,0.0,5,0.3013888888888889,0.09141906796535568,5,0.2777777777777778,0.09635025642716394,5,1.0,0.0,5,0.4569444444444445,0.044844123030452626,5,5.4608585858585865,1.0968781789074527,5,1.0,0.0,5,1.0,0.0,5,0.3013888888888889,0.09141906796535568,5,0.19296483631646572,0.028268253771689945,5,0.0,0.0,5
count1,regime_conditional,cusum,observed,transit_rough,all,0.21224495914401004,0.15966084990194293,5,0.30833333333333335,0.15756392000990868,5,0.17657411777933266,0.15578236523960462,5,0.1702894815357745,0.13569999757357937,5,0.04517045454545455,0.033874192794810624,5,0.06875,0.08385254915624211,5,0.6875,0.1495072926500763,5,0.3333333333333333,0.0,5,0.30833333333333335,0.15756392000990868,5,0.2666666666666667,0.1818596070232933,5,1.0,0.0,5,0.4291666666666667,0.08149003006503312,5,5.018939393939394,3.884307632953349,5,1.0,0.0,5,1.0,0.0,5,0.30833333333333335,0.15756392000990868,5,0.21224495914401004,0.15966084990194293,5,0.0,0.0,5
count1,regime_conditional,cusum,observed,transit_rough,record_stable,0.21224495914401004,0.15966084990194293,5,0.30833333333333335,0.15756392000990868,5,0.17657411777933266,0.15578236523960462,5,0.1702894815357745,0.13569999757357937,5,0.04517045454545455,0.033874192794810624,5,0.06875,0.08385254915624211,5,0.6875,0.1495072926500763,5,0.3333333333333333,0.0,5,0.30833333333333335,0.15756392000990868,5,0.2666666666666667,0.1818596070232933,5,1.0,0.0,5,0.4291666666666667,0.08149003006503312,5,5.018939393939394,3.884307632953349,5,1.0,0.0,5,1.0,0.0,5,0.30833333333333335,0.15756392000990868,5,0.21224495914401004,0.15966084990194293,5,0.0,0.0,5
count1,regime_conditional,cusum,observed,transit_rough,stable,0.21224495914401004,0.15966084990194293,5,0.30833333333333335,0.15756392000990868,5,0.17657411777933266,0.15578236523960462,5,0.1702894815357745,0.13569999757357937,5,0.04517045454545455,0.033874192794810624,5,0.06875,0.08385254915624211,5,0.6875,0.1495072926500763,5,0.3333333333333333,0.0,5,0.30833333333333335,0.15756392000990868,5,0.2666666666666667,0.1818596070232933,5,1.0,0.0,5,0.4291666666666667,0.08149003006503312,5,5.018939393939394,3.884307632953349,5,1.0,0.0,5,1.0,0.0,5,0.30833333333333335,0.15756392000990868,5,0.21224495914401004,0.15966084990194293,5,0.0,0.0,5
