seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,duration24,regime_conditional,observed,all,stable,0.2548304851095778,0.46701388888888884,-0.09485543384365225,0.10795445886520513,0.09603658536585366,0.04861111111111111,0.19791666666666674,0.0,0.46701388888888884,0.41145833333333337,0.0,0.7847222222222222,-6.605691056910569,0.0,0.0,0.46701388888888884,0.2548304851095778,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,transit_rough,all,0.25345025876940774,0.5885416666666666,-0.23639534883720936,0.08471181229925062,0.12398373983739837,0.06510416666666667,0.29166666666666663,0.0,0.5885416666666666,0.46875,0.0,0.84375,-8.130081300813009,0.0,0.0,0.5885416666666666,0.25345025876940774,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,transit_rough,stable,0.25345025876940774,0.5885416666666666,-0.23639534883720936,0.08471181229925062,0.12398373983739837,0.06510416666666667,0.29166666666666663,0.0,0.5885416666666666,0.46875,0.0,0.84375,-8.130081300813009,0.0,0.0,0.5885416666666666,0.25345025876940774,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,transit_smooth,all,0.2325074828013101,0.45833333333333337,-0.12809506034590018,0.048676247364548536,0.10518292682926829,0.018229166666666664,0.203125,0.0,0.45833333333333337,0.41145833333333337,0.0,0.9166666666666666,-1.0162601626016254,0.0,0.0,0.45833333333333337,0.2325074828013101,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,transit_smooth,stable,0.2325074828013101,0.45833333333333337,-0.12809506034590018,0.048676247364548536,0.10518292682926829,0.018229166666666664,0.203125,0.0,0.45833333333333337,0.41145833333333337,0.0,0.9166666666666666,-1.0162601626016254,0.0,0.0,0.45833333333333337,0.2325074828013101,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,warehouse,all,0.26530199207794836,0.3541666666666667,0.0590738423028786,0.17610182008295783,0.05894308943089431,0.0625,0.09895833333333337,0.0,0.3541666666666667,0.3541666666666667,0.0,0.59375,-10.670731707317074,0.0,0.0,0.3541666666666667,0.26530199207794836,0.0,cusum_minus_point
42,duration24,regime_conditional,observed,warehouse,stable,0.26530199207794836,0.3541666666666667,0.0590738423028786,0.17610182008295783,0.05894308943089431,0.0625,0.09895833333333337,0.0,0.3541666666666667,0.3541666666666667,0.0,0.59375,-10.670731707317074,0.0,0.0,0.3541666666666667,0.26530199207794836,0.0,cusum_minus_point
42,duration24,regime_marginal,clean,all,all,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.03819444444444444,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,clean,all,stable,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.03819444444444444,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,clean,transit_rough,all,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,duration24,regime_marginal,clean,transit_rough,stable,,,,,-0.006481481481481481,,,,,,0.0,0.0,-6.481481481481482,0.0,0.0,,,,cusum_minus_point
42,duration24,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005092592592592593,,,,,,0.0,0.0,-8.796296296296296,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.11458333333333333,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.04953703703703703,,,,,,0.0,0.11458333333333333,-3.703703703703704,0.0,0.0,,0.0,,cusum_minus_point
42,duration24,regime_marginal,observed,all,all,0.11476841847336297,0.14930555555555558,-0.16301345002117318,0.015921816171574538,0.051490514905149054,0.035590277777777776,0.16145833333333337,0.0,0.14930555555555558,0.1371527777777778,0.0,0.3819444444444445,-6.266937669376693,0.0,0.0,0.14930555555555558,0.11476841847336297,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,all,stable,0.11476841847336297,0.14930555555555558,-0.16301345002117318,0.015921816171574538,0.051490514905149054,0.035590277777777776,0.16145833333333337,0.0,0.14930555555555558,0.1371527777777778,0.0,0.3819444444444445,-6.266937669376693,0.0,0.0,0.14930555555555558,0.11476841847336297,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,transit_rough,all,0.13127065650844882,0.12499999999999999,-0.1257066844030595,0.10620819745851828,0.021341463414634144,0.013020833333333334,0.28645833333333337,0.0,0.12499999999999999,0.12499999999999999,0.0,0.3333333333333333,-6.60569105691057,0.0,0.0,0.12499999999999999,0.13127065650844882,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,transit_rough,stable,0.13127065650844882,0.12499999999999999,-0.1257066844030595,0.10620819745851828,0.021341463414634144,0.013020833333333334,0.28645833333333337,0.0,0.12499999999999999,0.12499999999999999,0.0,0.3333333333333333,-6.60569105691057,0.0,0.0,0.12499999999999999,0.13127065650844882,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,transit_smooth,all,0.060869565217391314,0.07291666666666667,-0.14327485380116955,-0.009585308495677597,0.02845528455284553,0.010416666666666668,0.15625,0.0,0.07291666666666667,0.07291666666666666,0.0,0.4895833333333333,-8.130081300813009,0.0,0.0,0.07291666666666667,0.060869565217391314,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,transit_smooth,stable,0.060869565217391314,0.07291666666666667,-0.14327485380116955,-0.009585308495677597,0.02845528455284553,0.010416666666666668,0.15625,0.0,0.07291666666666667,0.07291666666666666,0.0,0.4895833333333333,-8.130081300813009,0.0,0.0,0.07291666666666667,0.060869565217391314,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,warehouse,all,0.15339210998206815,0.24999999999999997,-0.10970279720279721,0.054625018131338576,0.10467479674796748,0.08333333333333333,0.04166666666666663,0.0,0.24999999999999997,0.21354166666666666,0.0,0.32291666666666663,-4.0650406504065035,0.0,0.0,0.24999999999999997,0.15339210998206815,0.0,cusum_minus_point
42,duration24,regime_marginal,observed,warehouse,stable,0.15339210998206815,0.24999999999999997,-0.10970279720279721,0.054625018131338576,0.10467479674796748,0.08333333333333333,0.04166666666666663,0.0,0.24999999999999997,0.21354166666666666,0.0,0.32291666666666663,-4.0650406504065035,0.0,0.0,0.24999999999999997,0.15339210998206815,0.0,cusum_minus_point
