scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
duration4,regime_marginal,ewma,observed,0.075,0.018633899812498245,5,0.075,0.018633899812498245,5,0.0,0.0,5,2.1,1.2449899597988732,5,3.875,0.04166666666666652,5,1.0,0.0,5,0.0,0.0,5,0.96875,0.01041666666666663,5
duration4,regime_marginal,point,clean,0.025,0.02282177322938192,5,0.025,0.02282177322938192,5,0.0,0.0,5,2.3333333333333335,1.1547005383792517,3,3.9583333333333335,0.05103103630798296,5,1.0,0.0,5,0.0,0.0,5,0.9895833333333334,0.01275775907699574,5
duration4,regime_marginal,point,observed,0.175,0.061801654059130524,5,0.175,0.061801654059130524,5,0.0,0.0,5,0.8533333333333333,0.5927103470967547,5,3.475,0.13372338779901016,5,1.0,0.0,5,0.0,0.0,5,0.86875,0.03343084694975254,5
magnitude2,regime_conditional,cusum,clean,0.049999999999999996,0.03486083443891982,5,0.041666666666666664,0.02946278254943948,5,0.016666666666666666,0.02282177322938192,5,7.75,2.5,4,11.8,0.2308649196199184,5,1.0,0.0,5,0.0,0.0,5,0.9833333333333334,0.01923874330165984,5
magnitude2,regime_conditional,cusum,observed,0.975,0.02282177322938192,5,0.9416666666666667,0.04750730937913076,5,0.03333333333333333,0.054326686710022075,5,3.439097496706192,0.7915733902966146,5,3.925,0.9580615556656286,5,1.0,0.0,5,0.0,0.0,5,0.3270833333333333,0.0798384629721357,5
magnitude2,regime_conditional,ewma,clean,0.10833333333333332,0.0756912588524373,5,0.10833333333333332,0.0756912588524373,5,0.0,0.0,5,6.0,2.943920288775949,4,11.341666666666667,0.5639641438562875,5,1.0,0.0,5,0.0,0.0,5,0.945138888888889,0.04699701198802394,5
magnitude2,regime_conditional,ewma,observed,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,2.191666666666667,0.38028680697015443,5,2.191666666666667,0.38028680697015443,5,1.0,0.0,5,0.0,0.0,5,0.18263888888888888,0.03169056724751287,5
magnitude2,regime_conditional,point,clean,0.175,0.061801654059130524,5,0.175,0.061801654059130524,5,0.0,0.0,5,7.453333333333333,1.6914162376212691,5,11.2,0.369637585270282,5,1.0,0.0,5,0.0,0.0,5,0.9333333333333333,0.030803132105856747,5
magnitude2,regime_conditional,point,observed,0.9833333333333334,0.0228217732293819,5,0.9833333333333334,0.0228217732293819,5,0.0,0.0,5,1.6956521739130435,0.4922355145937228,5,1.875,0.31040967553648613,5,1.0,0.0,5,0.0,0.0,5,0.15625,0.025867472961373848,5
magnitude2,regime_marginal,cusum,clean,0.041666666666666664,0.0,5,0.016666666666666666,0.02282177322938192,5,0.025,0.02282177322938192,5,5.5,2.1213203435596424,2,11.891666666666666,0.15478479684172286,5,1.0,0.0,5,0.0,0.0,5,0.9909722222222221,0.012898733070143576,5
magnitude2,regime_marginal,cusum,observed,0.6583333333333334,0.19184774055368894,5,0.625,0.20198666072568036,5,0.041666666666666664,0.02946278254943948,5,7.083892876129719,0.5287325369741586,5,8.883333333333333,1.139337648714277,5,1.0,0.0,5,0.0,0.0,5,0.7402777777777778,0.09494480405952307,5
magnitude2,regime_marginal,ewma,clean,0.05833333333333333,0.037267799624996496,5,0.05833333333333333,0.037267799624996496,5,0.0,0.0,5,7.125,2.719528145346787,4,11.683333333333334,0.277326021538229,5,1.0,0.0,5,0.0,0.0,5,0.9736111111111111,0.023110501794852422,5
magnitude2,regime_marginal,ewma,observed,0.875,0.08838834764831845,5,0.875,0.08838834764831845,5,0.0,0.0,5,4.264524948735476,0.4367274492069927,5,5.225,0.83624491362014,5,1.0,0.0,5,0.0,0.0,5,0.4354166666666667,0.06968707613501164,5
magnitude2,regime_marginal,point,clean,0.11666666666666665,0.07453559924999299,5,0.11666666666666665,0.07453559924999299,5,0.0,0.0,5,6.326666666666666,0.9220749547744057,5,11.375,0.3435921354681384,5,1.0,0.0,5,0.0,0.0,5,0.9479166666666666,0.02863267795567818,5
magnitude2,regime_marginal,point,observed,0.9083333333333334,0.09033118078616167,5,0.9083333333333334,0.09033118078616167,5,0.0,0.0,5,2.545099160945843,0.7750926104574841,5,3.45,0.6464378890848249,5,1.0,0.0,5,0.0,0.0,5,0.2875,0.05386982409040208,5
magnitude4,regime_conditional,cusum,clean,0.049999999999999996,0.03486083443891982,5,0.041666666666666664,0.02946278254943948,5,0.016666666666666666,0.02282177322938192,5,7.75,2.5,4,11.8,0.2308649196199184,5,1.0,0.0,5,0.0,0.0,5,0.9833333333333334,0.01923874330165984,5
magnitude4,regime_conditional,cusum,observed,1.0,0.0,5,0.8833333333333334,0.1394433377556793,5,0.14166666666666666,0.14312970031098057,5,1.278409090909091,0.18636787073287595,5,2.525,1.5510972818549384,5,1.0,0.0,5,0.0,0.0,5,0.21041666666666664,0.12925810682124486,5
