method,temporal,view,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
regime_conditional,ewma,clean,switch_random_minus_steady_d12_n2_m1,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0002469135802469141,0.0013828744948901138,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.0034722222222222225,0.004910463758239913,5,0.12345679012345663,0.6492495051840319,5,0.0,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
regime_conditional,ewma,observed,count1_minus_steady_d12_n2_m1,-0.06720241860537926,0.07883907337434108,5,-0.00972222222222222,0.094083768000833,5,-0.13393742935468228,0.07107325987055951,5,-0.09319530521667528,0.09344718341421374,5,-0.003166108762038996,0.0006589491748202723,5,0.007291666666666667,0.01875482191084222,5,-0.013194444444444463,0.08549003172704617,5,0.0,0.0,5,-0.00972222222222222,0.094083768000833,5,-0.011805555555555536,0.09674361361191423,5,0.0,0.0,5,0.008333333333333328,0.024747957890563138,5,-0.6621447028423774,0.3449574861332831,5,0.0,0.0,5,0.0,0.0,5,-0.00972222222222222,0.094083768000833,5,-0.06720241860537926,0.07883907337434108,5,0.0,0.0,5
regime_conditional,ewma,observed,count3_minus_steady_d12_n2_m1,0.018914236276714423,0.027823217274648936,5,-0.00046296296296296504,0.029729829129257864,5,0.053562446082688696,0.026591071542976675,5,0.03883185229618389,0.03925943636891374,5,0.004342008121077887,0.0013803421362906692,5,0.004282407407407408,0.011344659203267042,5,-0.010416666666666652,0.03997665749807992,5,0.0,0.0,5,-0.00046296296296296504,0.029729829129257864,5,0.0006944444444444587,0.033570800871066925,5,0.0,0.0,5,1.3877787807814458e-18,0.008814552205861005,5,0.6606066199089454,0.32360795230499406,5,0.0,0.0,5,0.0,0.0,5,-0.00046296296296296504,0.029729829129257864,5,0.018914236276714423,0.027823217274648936,5,0.0,0.0,5
regime_conditional,ewma,observed,duration24_minus_steady_d12_n2_m1,0.17980526023364218,0.027725478309148923,5,0.15069444444444446,0.03241928932311824,5,0.2203778489975139,0.025701196847611036,5,0.2506672938918654,0.03396293632961793,5,0.00391614671960673,0.0040639502199341275,5,0.005555555555555555,0.009501144647577866,5,0.08333333333333334,0.03402069087198865,5,0.0,0.0,5,0.15069444444444446,0.03241928932311824,5,0.13784722222222223,0.02680029273322254,5,0.0,0.0,5,0.00625,0.05392574627310327,5,0.6420558391630429,1.7425491908898227,5,0.0,0.0,5,0.0,0.0,5,0.15069444444444446,0.03241928932311824,5,0.17980526023364218,0.027725478309148923,5,0.0,0.0,5
regime_conditional,ewma,observed,duration4_minus_steady_d12_n2_m1,-0.2918120044281157,0.07073788674824323,5,-0.24305555555555552,0.0729579909355927,5,-0.35140611678131894,0.07543838042829408,5,-0.3054941664204864,0.06542728927875996,5,-0.005328000233140994,0.002621794458659385,5,-0.015277777777777776,0.023337621547092336,5,-0.1590277777777778,0.05111365860197264,5,0.0,0.0,5,-0.24305555555555552,0.0729579909355927,5,-0.22847222222222224,0.06889539899794776,5,0.0,0.0,5,-0.0625,0.049288435995063856,5,-1.0328631656661034,1.0198464056903063,5,0.0,0.0,5,0.0,0.0,5,-0.24305555555555552,0.0729579909355927,5,-0.2918120044281157,0.07073788674824323,5,0.0,0.0,5
regime_conditional,ewma,observed,magnitude2_minus_steady_d12_n2_m1,0.21435205307983782,0.05217222160639095,5,0.44861111111111107,0.05739153753165103,5,0.039751776032548404,0.057635126491622835,5,0.3340785313979743,0.04358950487988168,5,0.01857235142118863,0.001791107316926584,5,0.08611111111111111,0.029605657982350285,5,0.18194444444444444,0.050889086001559065,5,0.0,0.0,5,0.44861111111111107,0.05739153753165103,5,0.25972222222222224,0.06366582435936906,5,0.0,0.0,5,0.19930555555555557,0.03468748262150603,5,1.9702842377260978,1.6206296775584115,5,0.0,0.0,5,0.0,0.0,5,0.44861111111111107,0.05739153753165103,5,0.21435205307983782,0.05217222160639095,5,0.0,0.0,5
regime_conditional,ewma,observed,magnitude4_minus_steady_d12_n2_m1,0.10526650716006455,0.058806355615172376,5,0.5958333333333333,0.05750696079713702,5,-0.11321297469682565,0.07550292480710787,5,0.44491243883685117,0.0649368178245987,5,0.06560077519379845,0.003915136405200956,5,0.38472222222222224,0.026001125851099056,5,0.29236111111111107,0.06832429931249362,5,0.0,0.0,5,0.5958333333333333,0.05750696079713702,5,0.001388888888888895,0.04932511349188822,5,0.0,0.0,5,0.45,0.04185432279251157,5,5.329457364341085,1.606891855792345,5,0.0,0.0,5,0.0,0.0,5,0.5958333333333333,0.05750696079713702,5,0.10526650716006455,0.058806355615172376,5,0.0,0.0,5
regime_conditional,ewma,observed,switch_after6_minus_switch_at,0.037130544808139064,0.03814397257977168,5,0.045138888888888895,0.04078937543219002,5,0.021027539524534834,0.034506366246927656,5,0.04577806664026177,0.02901416341291061,5,0.0007428940568475449,0.001719032182265525,5,0.010069444444444447,0.010659778772922743,5,-0.04444444444444447,0.023472838584938305,5,0.0,0.0,5,0.045138888888888895,0.04078937543219002,5,0.03680555555555555,0.037525711350295254,5,0.0,0.0,5,0.007638888888888895,0.03449578946394387,5,-0.032299741602067125,0.46246192064846126,5,0.0,0.0,5,0.0,0.0,5,0.045138888888888895,0.04078937543219002,5,0.037130544808139064,0.03814397257977168,5,0.0,0.0,5
regime_conditional,ewma,observed,switch_at_minus_switch_random,0.005281923862522586,0.019573139485215187,5,0.006944444444444453,0.029360302995291254,5,0.004378518074827686,0.02549955297297375,5,-0.000684216683803096,0.018105756504191717,5,0.00022609819121447022,0.0033539669704350157,5,-0.011111111111111113,0.016859060258764186,5,0.05555555555555554,0.032479664815746,5,0.0,0.0,5,0.006944444444444453,0.029360302995291254,5,0.004166666666666685,0.03527340305333415,5,0.0,0.0,5,-0.001388888888888891,0.03486083443891981,5,0.38759689922480656,0.779555451301497,5,0.0,0.0,5,0.0,0.0,5,0.006944444444444453,0.029360302995291254,5,0.005281923862522586,0.019573139485215187,5,0.0,0.0,5
regime_conditional,ewma,observed,switch_before6_minus_switch_at,-0.17297886545975089,0.022514383622866688,5,-0.18055555555555552,0.021544572302067456,5,-0.1246108320111035,0.04748210467339544,5,-0.16576117923561964,0.02306447675811617,5,-0.003585271317829457,0.002188888454209288,5,-0.008680555555555556,0.013278696649981214,5,-0.09583333333333333,0.02869576876582556,5,0.0,0.0,5,-0.18055555555555552,0.021544572302067456,5,-0.16111111111111112,0.015055196797693597,5,0.0,0.0,5,-0.04791666666666666,0.022151580427411922,5,-0.6136950904392767,0.6085737623196633,5,0.0,0.0,5,0.0,0.0,5,-0.18055555555555552,0.021544572302067456,5,-0.17297886545975089,0.022514383622866688,5,0.0,0.0,5
